 x0 (cm),y0 (cm),freq (GHz),"Electric field norm (V/m), Point: 2","Electric field norm (V/m), Point: 3","Electric field norm (V/m), Point: 5","Electric field norm (V/m), Point: 6","Electric field norm (V/m), Point: 7","Electric field norm (V/m), Point: 8","Electric field norm (V/m), Point: 10","Electric field norm (V/m), Point: 11","Electric field norm (V/m), Point: 12","Electric field norm (V/m), Point: 13","Electric field norm (V/m), Point: 14","Electric field norm (V/m), Point: 15"
0.6,0.6,22.6,2.812527507,3.800447287,0.886270062,1.177271861,1.889996953,0.466872792,0.001718393,0.001376889,0.001661143,0.00197873,3.50480016,1.781024058
0.6,0.6,22.7,2.745615706,4.334275622,0.591134525,0.483543799,3.426084484,2.544212661,0.001742374,0.001391897,0.001685078,0.00200859,1.094604917,1.262941605
0.6,0.6,22.8,3.112869486,7.395424653,1.335280754,1.100780221,7.415089983,6.385393219,0.001766487,0.001409673,0.001709203,0.002037436,3.539061751,4.040036916
0.6,0.6,22.9,0.810003733,0.670422292,1.40434843,0.957379004,1.535745949,1.877754246,0.001787804,0.001430993,0.001732924,0.00206381,0.780179646,1.373768378
0.6,0.6,23,1.086459786,1.448982971,1.541297734,0.903110506,1.267587627,2.400786898,0.001811854,0.00144865,0.001755989,0.002088267,0.973507828,1.415417543
0.6,0.6,23.1,1.554399011,0.588565206,1.713705429,0.855664791,1.83272475,2.631886193,0.001830252,0.001466977,0.00177735,0.00211533,1.693328594,2.033801017
0.6,0.6,23.2,3.424855395,3.181961672,1.621538965,0.853931639,3.903255166,4.032792837,0.001850807,0.001486671,0.001797075,0.002144603,3.754444212,3.473989196
0.6,0.6,23.3,2.969075353,3.364643077,0.502257736,0.396965458,3.57978492,3.006663609,0.001873919,0.001505848,0.001818351,0.002171749,4.003538207,3.624810652
0.6,0.6,23.4,2.818123515,3.179777353,0.759118865,0.309559785,2.878062464,2.585704689,0.001897234,0.001525425,0.001839061,0.002198015,3.678405125,4.041249649
0.6,0.6,23.5,3.116279586,3.288343642,1.053151932,0.358050035,3.192347522,3.629944766,0.001922511,0.001542979,0.001860302,0.002225945,2.90827516,3.907405922
0.6,0.6,23.6,3.565294073,3.405664713,1.229854681,0.41979511,3.303921199,4.584708234,0.001943189,0.001560295,0.001886736,0.002254319,2.140987062,3.293656401
0.6,0.6,23.7,4.009380904,3.383536539,1.275615473,0.43064282,3.004363992,4.899066041,0.001965487,0.001579039,0.001910749,0.002281198,1.93155393,3.170234761
0.6,0.6,23.8,4.160895699,3.089792605,1.302756713,0.436468007,2.505084554,4.702958404,0.00198908,0.001593988,0.001933166,0.002306829,1.937745779,3.367176665
0.6,0.6,23.9,4.30794554,2.834556957,1.392743547,0.439866735,2.075647172,4.398457319,0.002013161,0.001607085,0.001953203,0.002335267,1.917971914,3.54139387
0.6,0.6,24,4.638826664,2.725401106,1.51347455,0.456124779,1.775371816,4.147211897,0.002041479,0.001630271,0.00197966,0.002364703,1.819895245,3.618801507
0.6,0.6,24.1,4.884138103,2.555405978,1.620851024,0.45514307,1.524776377,3.910694746,0.002066714,0.001651372,0.002003094,0.002393196,1.661641219,3.553739609
0.6,0.6,24.2,4.862425983,2.287287616,1.707034233,0.459418927,1.38051605,3.743448611,0.002090258,0.001671616,0.00202516,0.002421028,1.532467438,3.449341742
0.6,0.6,24.3,4.68777433,2.000235618,1.864144553,0.489533767,1.274736096,3.651457776,0.002105378,0.001695401,0.002040457,0.002443221,1.463847426,3.449529975
0.6,0.6,24.4,4.467656098,1.751051403,2.152215754,0.507011682,1.080838472,3.466407668,0.002125767,0.001714474,0.002062676,0.00247008,1.320296916,3.400473079
0.6,0.6,24.5,4.252366804,1.559489114,2.497023109,0.513930261,0.952869171,3.312280905,0.002158673,0.001733722,0.002092308,0.002498144,1.233186747,3.329866692
0.6,0.6,24.6,4.03738663,1.397827889,2.815512515,0.514670804,0.808327279,3.14352976,0.002187894,0.001755655,0.002120685,0.002531714,1.116469678,3.208879389
0.6,0.6,24.7,3.815277332,1.248224473,3.023682267,0.503899849,0.673916966,2.986896726,0.002211206,0.001778847,0.002146534,0.00256528,0.96379072,3.041899688
0.6,0.6,24.8,3.584997575,1.102752021,3.020785549,0.449588907,0.614463735,2.867571445,0.00223977,0.001795746,0.002172913,0.002596739,0.810896956,2.870006172
0.6,0.6,24.9,3.378628149,0.972433587,2.790266356,0.388095211,0.521896164,2.762784702,0.002271638,0.001818321,0.002197866,0.002627553,0.716522036,2.715721802
0.6,0.6,25,3.22376414,0.881459297,2.45666143,0.359757554,0.459297745,2.652853901,0.002299728,0.001839952,0.002219991,0.002656965,0.677404106,2.620705832
0.6,0.6,25.1,3.120723459,0.834589657,2.159850669,0.349443649,0.448734182,2.57778548,0.002318503,0.001858439,0.002243424,0.002686073,0.586333996,2.518655204
0.6,0.6,25.2,3.048278164,0.788014273,1.949744825,0.421228338,0.498923504,2.527010546,0.00233382,0.001878683,0.00227011,0.002714381,0.65457244,2.477044953
0.6,0.6,25.3,2.989069292,0.754610138,1.808285626,0.44168595,0.487571962,2.492723408,0.00237098,0.001896082,0.002296839,0.002746882,0.651273112,2.457159429
0.6,0.6,25.4,2.934769742,0.729897573,1.716860516,0.469216705,0.4690152,2.450651415,0.002403424,0.001921114,0.002323353,0.002776374,0.587102431,2.418959484
0.6,0.6,25.5,2.888038425,0.712109476,1.658646563,0.493001387,0.446986571,2.415458822,0.00242948,0.001940852,0.002349904,0.00280911,0.528339396,2.371059518
0.6,0.6,25.6,2.847231798,0.695475073,1.620735732,0.502953553,0.44578691,2.388087312,0.00245759,0.001962325,0.002377512,0.002842583,0.469418582,2.320654028
0.6,0.6,25.7,2.807971114,0.669747387,1.595925447,0.51583658,0.423242032,2.363609231,0.002485005,0.001987192,0.002402655,0.002872243,0.500457562,2.275329263
0.6,0.6,25.8,2.779808449,0.667432372,1.578240408,0.517338433,0.40555428,2.329733683,0.002511937,0.002009846,0.002427611,0.002902227,0.588439674,2.278956259
0.6,0.6,25.9,2.753827234,0.666908348,1.565641138,0.540750601,0.432068434,2.30266649,0.002537583,0.002034717,0.002455583,0.002933046,0.596104762,2.270545621
0.6,0.6,26,2.727590115,0.655550962,1.554986153,0.539395659,0.540529247,2.289428897,0.002564137,0.002056431,0.002479745,0.002961258,0.604030174,2.258549772
0.6,0.6,26.1,2.701899571,0.642482709,1.54693377,0.553368209,0.59008072,2.322823975,0.002586363,0.00207416,0.002501284,0.003002988,0.599144423,2.267826709
0.6,0.6,26.2,2.687454267,0.651419911,1.538788511,0.591508804,0.507703886,2.307257062,0.002615993,0.002094299,0.002534282,0.00303545,0.54814065,2.247179013
0.6,0.6,26.3,2.673283498,0.654283501,1.531229256,0.620620319,0.480083905,2.294500255,0.002644697,0.00211405,0.002564549,0.003069247,0.53824287,2.235093866
0.6,0.6,26.4,2.661311018,0.65796634,1.523981706,0.633826126,0.452568518,2.282866676,0.002677149,0.002132953,0.002592122,0.003106165,0.526474046,2.227826684
0.6,0.6,26.5,2.650236098,0.665869499,1.517015463,0.623482305,0.452777363,2.272778885,0.002707513,0.002164363,0.002617597,0.003141641,0.502697524,2.218291845
0.6,0.6,26.6,2.640464784,0.670317623,1.509407905,0.651596237,0.455223541,2.265462461,0.002736941,0.002189187,0.002646719,0.003168954,0.516816026,2.211510146
0.6,0.6,26.7,2.632234166,0.675759979,1.50154051,0.674389314,0.443056438,2.253259625,0.002769488,0.002211564,0.002680481,0.003199739,0.523878182,2.208180632
0.6,0.6,26.8,2.625332668,0.687435315,1.49331355,0.699050177,0.495423151,2.24921453,0.002800047,0.002232452,0.002708529,0.003235137,0.513137245,2.203009482
0.6,0.6,26.9,2.617984508,0.692353396,1.484581036,0.736562177,0.517520419,2.247968048,0.002829319,0.002257704,0.002735848,0.003268106,0.50183149,2.19799098
0.6,0.6,27,2.609811345,0.687690099,1.476435954,0.758155656,0.519357591,2.251762341,0.00285778,0.002278669,0.002759119,0.003302116,0.503894684,2.191918286
0.6,0.6,27.1,2.603946714,0.697207078,1.467761373,0.783185794,0.487131754,2.240176438,0.002887367,0.002304379,0.002789792,0.003345733,0.520528222,2.188836386
0.6,0.6,27.2,2.59819253,0.702795948,1.458705287,0.803213964,0.514868176,2.236799352,0.002920698,0.002329284,0.002820362,0.003380837,0.526611588,2.186526345
0.6,0.6,27.3,2.591676352,0.708730489,1.449377775,0.825283159,0.502181374,2.230977944,0.002951972,0.002353146,0.002851039,0.003415037,0.53924944,2.182929296
0.6,0.6,27.4,2.584752438,0.715868361,1.439962873,0.849715469,0.523448096,2.22591551,0.002979884,0.00237916,0.00288247,0.003448587,0.553940923,2.180120395
0.6,0.6,27.5,2.577263707,0.722736713,1.430330189,0.874158083,0.542892193,2.223137708,0.00301139,0.00240627,0.002911346,0.003483866,0.577823662,2.179172466
0.6,0.6,27.6,2.567965609,0.721970729,1.420220972,0.900422905,0.56220007,2.222844623,0.003041442,0.002428958,0.00293687,0.003524392,0.582955027,2.177458344
0.6,0.6,27.7,2.560620346,0.742955103,1.409986049,0.929641688,0.543502658,2.21411876,0.003066902,0.002450916,0.00296879,0.003562693,0.582487381,2.170987038
0.6,0.6,27.8,2.551509097,0.760196305,1.399345875,0.956827982,0.557336035,2.206265309,0.003101965,0.002475397,0.002999915,0.003599072,0.589903511,2.165526992
0.6,0.6,27.9,2.539871165,0.765014768,1.38818542,0.982884853,0.573894054,2.201162688,0.003132625,0.002501863,0.003026634,0.003633295,0.593919028,2.159716018
0.6,0.6,28,2.527801703,0.777674177,1.376366604,1.010361005,0.590226291,2.196569793,0.003162517,0.002527777,0.003058487,0.003670427,0.587439441,2.150808496
0.6,0.6,28.1,2.514479423,0.79030756,1.36416723,1.037796471,0.588517757,2.188141268,0.003197539,0.00255879,0.003095155,0.003708597,0.607655124,2.14432363
0.6,0.6,28.2,2.500142037,0.804348285,1.351548093,1.064217827,0.589440845,2.178712946,0.003231231,0.002584162,0.003125612,0.003747137,0.624074482,2.138116793
0.6,0.6,28.3,2.484304715,0.816468899,1.338345222,1.091095574,0.590616476,2.166855039,0.003265299,0.002607861,0.00315541,0.003785295,0.638063107,2.131145088
0.6,0.6,28.4,2.467187012,0.825996764,1.324650542,1.117287448,0.600851286,2.156646701,0.003300001,0.002633141,0.003187229,0.003822311,0.641564152,2.121869513
0.6,0.6,28.5,2.448691652,0.835382251,1.310488326,1.14448751,0.605146302,2.145237046,0.003332062,0.002660862,0.003217935,0.003859501,0.648153565,2.111370949
0.6,0.6,28.6,2.429225743,0.846796746,1.295750829,1.171889613,0.611641575,2.13248505,0.003362766,0.002689336,0.0032529,0.003900238,0.657178502,2.100912098
0.6,0.6,28.7,2.40934219,0.864691032,1.2804072,1.202069565,0.615117779,2.117938194,0.003390985,0.002717927,0.003293011,0.003943283,0.657199296,2.088682302
0.6,0.6,28.8,2.387975703,0.876551412,1.264735005,1.229200572,0.652572681,2.106463586,0.003427085,0.002743142,0.003316757,0.003977733,0.667879095,2.07596101
0.6,0.6,28.9,2.365973639,0.88898364,1.248542544,1.255436995,0.664027982,2.094635227,0.003465793,0.002767472,0.003349595,0.004018639,0.683333182,2.063691721
0.6,0.6,29,2.342968132,0.901091095,1.231898134,1.280611174,0.679475281,2.081277897,0.003497465,0.002790703,0.003380438,0.004057972,0.691530763,2.050001337
0.6,0.6,29.1,2.319740869,0.915757205,1.214532886,1.304711839,0.679661632,2.065940807,0.003535702,0.002822955,0.00341472,0.004101716,0.712109136,2.036415622
0.6,0.6,29.2,2.295422194,0.927970935,1.196835643,1.331940467,0.678765429,2.048243432,0.00356271,0.002849633,0.003446162,0.004141538,0.731540724,2.022906676
0.6,0.6,29.3,2.270657454,0.940311553,1.178798608,1.358392534,0.693190307,2.031635775,0.003600883,0.00287568,0.003486651,0.004184359,0.738418488,2.007254962
0.6,0.6,29.4,2.245397088,0.951527067,1.160390474,1.38411726,0.694607316,2.01366433,0.003641522,0.002898991,0.003521899,0.004226761,0.738304193,1.99018474
0.6,0.6,29.5,2.219562018,0.960946295,1.14157912,1.406955898,0.706430476,1.995889184,0.003675934,0.002922331,0.003554089,0.004268683,0.746534018,1.972806997
0.6,0.6,29.6,2.193638923,0.973714436,1.122456302,1.428152687,0.716178759,1.977496201,0.003712125,0.002955776,0.003587664,0.004304247,0.764684615,1.956728796
0.6,0.6,29.7,2.167869622,0.989786895,1.10309462,1.453454985,0.730093615,1.959062423,0.003749246,0.002987254,0.003622164,0.004344375,0.77755271,1.939506239
0.6,0.6,29.8,2.141786783,1.004498595,1.083444497,1.478530238,0.745640493,1.941074335,0.003785156,0.003015638,0.003656768,0.004386121,0.790357071,1.921573919
0.6,0.6,29.9,2.115844861,1.021984596,1.06352316,1.503591931,0.733289898,1.919632869,0.003821483,0.003045086,0.003689949,0.004430186,0.808597748,1.904008286
0.6,0.6,30,2.089718283,1.036966989,1.043423915,1.526234259,0.746076785,1.899584389,0.003858914,0.003076101,0.003722984,0.004474144,0.822839494,1.88571971
0.7,0.7,1,0.592618197,0.548492209,0.581488702,0.609653887,0.81871957,0.505650434,4.40E-07,2.13E-07,2.78E-06,2.87E-06,0.84059572,0.499542499
0.7,0.7,1.1,0.590734791,0.425354664,0.576321938,0.459025814,0.592655246,0.605867413,8.53E-07,4.47E-07,2.49E-06,2.53E-06,0.562549015,0.609872118
0.7,0.7,1.2,0.565857039,0.425620684,0.555519262,0.362288726,0.496667663,0.639226518,1.16E-06,7.00E-07,2.18E-06,2.20E-06,0.368020177,0.677667148
0.7,0.7,1.3,0.53011465,0.50533804,0.51216886,0.397203932,0.519577671,0.620671937,1.41E-06,8.76E-07,2.10E-06,2.17E-06,0.479355272,0.661480301
0.7,0.7,1.4,0.485850265,0.628380871,0.465566874,0.547330167,0.594955104,0.569275578,1.60E-06,9.74E-07,2.12E-06,2.28E-06,0.674684171,0.562396429
0.7,0.7,1.5,0.448764055,0.802707882,0.464674504,0.722733457,0.653809315,0.461900387,1.66E-06,9.20E-07,2.08E-06,2.34E-06,0.751092175,0.410163431
0.7,0.7,1.6,0.482115318,0.924300624,0.520445788,0.817455531,0.55687901,0.46819627,1.76E-06,9.87E-07,1.94E-06,2.33E-06,0.594106297,0.463859266
0.7,0.7,1.7,0.509502348,0.878885685,0.540303965,0.757126495,0.492421857,0.595828096,2.49E-06,1.78E-06,1.92E-06,2.57E-06,0.404434326,0.627704238
0.7,0.7,1.8,0.508032102,0.81847012,0.5395531,0.71469461,0.761795779,0.651776277,3.46E-06,2.62E-06,2.20E-06,3.02E-06,0.708974932,0.694220834
0.7,0.7,1.9,0.540968612,0.885171596,0.583972482,0.809017739,1.147782315,0.5657467,4.25E-06,3.17E-06,2.36E-06,3.18E-06,1.156004991,0.595755414
0.7,0.7,2,0.607071656,0.920767043,0.648315413,0.847128492,1.250556125,0.409098993,4.89E-06,3.60E-06,2.17E-06,2.99E-06,1.273192018,0.426207983
0.7,0.7,2.1,0.602415952,0.764032164,0.629648758,0.690516808,0.894683312,0.507282931,5.53E-06,4.10E-06,2.26E-06,3.31E-06,0.909344416,0.529225556
0.7,0.7,2.2,0.599406926,0.66372987,0.623704187,0.590211657,0.515345037,0.648266211,6.20E-06,4.66E-06,2.83E-06,4.10E-06,0.505688755,0.686997748
0.7,0.7,2.3,0.626978676,0.712833723,0.64700591,0.644916176,0.5382732,0.70131062,6.88E-06,5.23E-06,3.34E-06,4.79E-06,0.549158561,0.72830163
0.7,0.7,2.4,0.717266287,0.700982773,0.743739521,0.648572838,0.825195264,0.560892585,7.50E-06,5.69E-06,3.76E-06,5.37E-06,0.83465741,0.575722162
0.7,0.7,2.5,0.717137912,0.519683254,0.751943896,0.512986714,0.734512126,0.486963064,7.99E-06,6.01E-06,4.25E-06,6.04E-06,0.709915039,0.538387311
0.7,0.7,2.6,0.678487541,0.414307162,0.709995359,0.457574395,0.53449497,0.560683633,8.44E-06,6.29E-06,4.77E-06,6.72E-06,0.509436361,0.601210554
0.7,0.7,2.7,0.610141666,0.349837113,0.63093368,0.449396219,0.280253463,0.662005864,9.13E-06,6.83E-06,5.30E-06,7.37E-06,0.338822293,0.654084938
0.7,0.7,2.8,0.523879273,0.320447905,0.546363207,0.442478786,0.253288552,0.68754732,9.93E-06,7.61E-06,5.76E-06,8.00E-06,0.329664745,0.679046445
0.7,0.7,2.9,0.464171294,0.341834733,0.489278267,0.461107798,0.582447705,0.59822687,1.08E-05,8.44E-06,6.18E-06,8.70E-06,0.578282606,0.631212742
0.7,0.7,3,0.404364825,0.439198363,0.446094652,0.539485207,0.880939383,0.456973194,1.19E-05,9.24E-06,6.85E-06,9.61E-06,0.837810167,0.522024496
0.7,0.7,3.1,0.429069176,0.588992515,0.43219315,0.665241515,1.021783849,0.386075123,1.31E-05,1.01E-05,7.82E-06,1.07E-05,0.979210387,0.457792335
0.7,0.7,3.2,0.540290072,0.475158215,0.520579268,0.530797232,0.730754565,0.455706538,1.42E-05,1.09E-05,8.51E-06,1.14E-05,0.695200601,0.427327164
0.7,0.7,3.3,0.524900105,0.33779718,0.523613716,0.455092587,0.354443773,0.530447089,1.51E-05,1.16E-05,8.94E-06,1.20E-05,0.404564364,0.477293445
0.7,0.7,3.4,0.544233865,0.40269397,0.524358295,0.547621384,0.627848987,0.478840047,1.58E-05,1.20E-05,9.82E-06,1.32E-05,0.68335709,0.457111949
0.7,0.7,3.5,0.658209458,0.59045598,0.600002144,0.683721553,0.99891387,0.438871141,1.63E-05,1.23E-05,1.09E-05,1.47E-05,1.004053721,0.490615825
0.7,0.7,3.6,0.717745954,0.409311129,0.661846688,0.429439387,1.273836137,0.399604416,1.70E-05,1.27E-05,1.18E-05,1.57E-05,1.274443114,0.443570134
0.7,0.7,3.7,0.694386928,0.326610551,0.643608307,0.413276566,0.909778918,0.594663425,1.81E-05,1.36E-05,1.25E-05,1.67E-05,0.890133463,0.603677015
0.7,0.7,3.8,0.680845875,0.439858107,0.644118721,0.548923583,0.488628014,0.712051401,1.94E-05,1.48E-05,1.33E-05,1.76E-05,0.451741414,0.712240829
0.7,0.7,3.9,0.663126629,0.5079061,0.660290702,0.602631129,0.067468516,0.722888179,2.07E-05,1.59E-05,1.43E-05,1.88E-05,0.069157206,0.720638713
0.7,0.7,4,0.694607646,0.320388446,0.735736341,0.371942048,0.703020401,0.661537368,2.20E-05,1.69E-05,1.54E-05,2.00E-05,0.643468607,0.664208277
0.7,0.7,4.1,0.701794194,0.25172577,0.732715098,0.344076117,0.866452634,0.476870484,2.34E-05,1.79E-05,1.64E-05,2.11E-05,0.796885775,0.484514837
0.7,0.7,4.2,0.719042892,0.311215522,0.727735894,0.357100286,0.831254077,0.4343359,2.46E-05,1.87E-05,1.73E-05,2.22E-05,0.753701984,0.42941092
0.7,0.7,4.3,0.66551454,0.258971236,0.65589882,0.23368028,0.608172693,0.524586895,2.57E-05,1.94E-05,1.84E-05,2.34E-05,0.496219812,0.535434188
0.7,0.7,4.4,0.575578355,0.085351284,0.566708252,0.094871659,0.242503353,0.582356799,2.67E-05,2.00E-05,1.97E-05,2.49E-05,0.25349845,0.58795107
0.7,0.7,4.5,0.559799047,0.031031668,0.562313035,0.221305631,0.519727931,0.577501151,2.79E-05,2.08E-05,2.12E-05,2.67E-05,0.510213596,0.554031155
0.7,0.7,4.6,0.553103784,0.047861748,0.557956155,0.243685997,0.888683692,0.479858124,2.92E-05,2.19E-05,2.25E-05,2.83E-05,0.898158193,0.454331529
0.7,0.7,4.7,0.494832216,0.0600862,0.47961238,0.18386127,1.117655275,0.402487165,3.08E-05,2.31E-05,2.36E-05,2.97E-05,1.141232274,0.394684459
0.7,0.7,4.8,0.465896353,0.207537659,0.435472543,0.26891747,1.307908625,0.354456274,3.23E-05,2.44E-05,2.48E-05,3.12E-05,1.348877133,0.429168484
0.7,0.7,4.9,0.504816106,0.158238319,0.47959452,0.269011611,1.028966024,0.507746318,3.39E-05,2.57E-05,2.61E-05,3.26E-05,1.060540988,0.619033958
0.7,0.7,5,0.516414452,0.108838687,0.495483511,0.249778345,0.624060669,0.628233361,3.54E-05,2.68E-05,2.75E-05,3.40E-05,0.548317756,0.706751534
0.7,0.7,5.1,0.545345493,0.056214341,0.538436411,0.209686532,0.363330238,0.652883883,3.69E-05,2.79E-05,2.89E-05,3.56E-05,0.192175003,0.675926948
0.7,0.7,5.2,0.612053514,0.027532742,0.619991845,0.14219453,0.626534934,0.607739849,3.85E-05,2.91E-05,3.02E-05,3.72E-05,0.723886572,0.568099656
0.7,0.7,5.3,0.65409937,0.120661142,0.676777133,0.116176222,0.757294716,0.496633101,4.02E-05,3.02E-05,3.16E-05,3.89E-05,0.960076745,0.450473304
0.7,0.7,5.4,0.645450519,0.143848587,0.699385026,0.133419503,0.741857003,0.43316367,4.19E-05,3.13E-05,3.31E-05,4.07E-05,0.943137323,0.372901341
0.7,0.7,5.5,0.637302752,0.15573073,0.714633559,0.120529988,0.650894038,0.434840002,4.37E-05,3.25E-05,3.46E-05,4.24E-05,0.804169636,0.433594087
0.7,0.7,5.6,0.635306318,0.264656398,0.708225192,0.156396668,0.401777512,0.482201797,4.55E-05,3.39E-05,3.61E-05,4.41E-05,0.434909504,0.531944058
0.7,0.7,5.7,0.647819642,0.31799905,0.652655726,0.148238382,0.375503297,0.484851239,4.74E-05,3.54E-05,3.77E-05,4.59E-05,0.18862898,0.546081283
0.7,0.7,5.8,0.65694528,0.277107526,0.632884369,0.146115688,0.527074551,0.494942714,4.94E-05,3.70E-05,3.95E-05,4.78E-05,0.622097615,0.518162898
0.7,0.7,5.9,0.643416154,0.321812873,0.620035874,0.16418462,0.807684572,0.530424301,5.15E-05,3.86E-05,4.13E-05,4.98E-05,1.0285532,0.567246289
