x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector"
-5,-5,6.1,0.709056144,0.609244954,0.501889267,0.812144357
-5,-5,6.2,0.705169688,0.608053725,0.418204604,0.808632627
-5,-5,6.3,0.706387521,0.626233012,0.347433916,0.843218089
-5,-5,6.4,0.723685037,0.632735821,0.391941064,0.872284665
-5,-5,6.5,0.739244824,0.630301377,0.422032032,0.873530145
-5,-5,6.6,0.748023035,0.622766424,0.431229683,0.864196053
-5,-5,6.7,0.748493103,0.619085994,0.436387582,0.848661266
-5,-5,6.8,0.741293179,0.625085368,0.453235688,0.832176552
-5,-5,6.9,0.729551399,0.636664465,0.489782939,0.818537742
-5,-5,7,0.715854366,0.643411089,0.57976249,0.804807702
-5,-5,7.1,0.727349297,0.637043516,0.716315864,0.81640048
-5,-5,7.2,0.744414024,0.633534047,0.756784731,0.817992329
-5,-5,7.3,0.755408353,0.631983887,0.768491845,0.813454592
-5,-5,7.4,0.76275999,0.634725564,0.768834433,0.811140352
-5,-5,7.5,0.764579952,0.636116282,0.759576801,0.808808645
-5,-5,7.6,0.759269081,0.631049534,0.743522942,0.803369206
-5,-5,7.7,0.747680959,0.620151759,0.728567086,0.793503973
-5,-5,7.8,0.740299474,0.610001419,0.760418845,0.788825291
-5,-5,7.9,0.752565053,0.619081972,0.783468246,0.794340186
-5,-5,8,0.754538256,0.631941258,0.768488877,0.778547683
-5,-5,8.1,0.753390207,0.639483931,0.74607244,0.763346697
-5,-5,8.2,0.750518882,0.637335005,0.712862478,0.757964538
-5,-5,8.3,0.744015578,0.626352827,0.665025939,0.762041233
-5,-5,8.4,0.731714704,0.61438629,0.60305,0.770526221
-5,-5,8.5,0.713618456,0.612727263,0.534495754,0.777430687
-5,-5,8.6,0.706857379,0.616765714,0.474506473,0.807488661
-5,-5,8.7,0.704782572,0.614244166,0.439224217,0.82307069
-5,-5,8.8,0.698328869,0.607909047,0.426539966,0.811213289
-5,-5,8.9,0.690045085,0.599954705,0.416193867,0.790478223
-5,-5,9,0.680365249,0.598824132,0.397199507,0.77355564
-5,-5,9.1,0.668341739,0.604553935,0.373279693,0.766592029
-5,-5,9.2,0.652515222,0.610939242,0.360498299,0.768051646
-5,-5,9.3,0.635950896,0.609869193,0.40468919,0.776638963
-5,-5,9.4,0.632792143,0.60219206,0.495633691,0.816731089
-5,-5,9.5,0.634969735,0.597860349,0.564209313,0.837381877
-5,-5,9.6,0.638652622,0.601447081,0.596050938,0.839816414
-5,-5,9.7,0.642119795,0.60721845,0.602760408,0.832463387
-5,-5,9.8,0.644702842,0.609597431,0.600181059,0.820024301
-5,-5,9.9,0.645928989,0.604219483,0.599392861,0.805765222
-5,-5,10,0.645251105,0.592770552,0.610179118,0.791121537
-5,-5,10.1,0.650276119,0.590640567,0.668523918,0.794522269
-5,-5,10.2,0.661937462,0.603825196,0.719136513,0.813180891
-5,-5,10.3,0.674007176,0.614381784,0.740581591,0.8228871
-5,-5,10.4,0.684438134,0.617132883,0.729686111,0.822032606
-5,-5,10.5,0.695129632,0.614482635,0.703335219,0.820903114
-5,-5,10.6,0.705613034,0.610417256,0.667416735,0.820962875
-5,-5,10.7,0.712850366,0.611739175,0.623589736,0.818246795
-5,-5,10.8,0.716091073,0.620269197,0.582487659,0.810078798
-5,-5,10.9,0.722601933,0.626777016,0.547408221,0.810152848
-5,-5,11,0.729791868,0.62411432,0.517721089,0.810138941
-5.5,-5.5,5,0.583282486,0.586971284,0.865296688,0.690688451
-5.5,-5.5,5.1,0.58521171,0.586347614,0.849374267,0.69114493
-5.5,-5.5,5.2,0.58775198,0.595712025,0.825247484,0.69744268
-5.5,-5.5,5.3,0.594734357,0.606851497,0.794479379,0.698009837
-5.5,-5.5,5.4,0.611819269,0.611000019,0.764333763,0.691703531
-5.5,-5.5,5.5,0.638462206,0.599179072,0.742241926,0.738357626
-5.5,-5.5,5.6,0.662661688,0.598749075,0.726254143,0.794329778
-5.5,-5.5,5.7,0.681688325,0.614359375,0.706746521,0.801120372
-5.5,-5.5,5.8,0.695686209,0.627465122,0.675633878,0.791452752
-5.5,-5.5,5.9,0.704329575,0.630795284,0.630188814,0.783918895
-5.5,-5.5,6,0.708580493,0.622425841,0.571349579,0.784508915
-5.5,-5.5,6.1,0.709056976,0.609245147,0.501890194,0.786468991
-5.5,-5.5,6.2,0.705170627,0.608054108,0.418205439,0.77445466
-5.5,-5.5,6.3,0.706388225,0.626233248,0.347433836,0.798466123
-5.5,-5.5,6.4,0.723685533,0.63273579,0.391940702,0.838780965
-5.5,-5.5,6.5,0.739245263,0.630301267,0.422031586,0.847047848
-5.5,-5.5,6.6,0.748023646,0.622766497,0.431229352,0.840662552
-5.5,-5.5,6.7,0.748494194,0.619086207,0.436387637,0.826809344
-5.5,-5.5,6.8,0.741294807,0.625085284,0.453236255,0.811992442
-5.5,-5.5,6.9,0.729553226,0.636663978,0.489784086,0.799216696
-5.5,-5.5,7,0.715855798,0.643410406,0.579763627,0.777796235
-5.5,-5.5,7.1,0.727349835,0.63704387,0.716316519,0.7826651
-5.5,-5.5,7.2,0.744413753,0.633535131,0.756784482,0.79206728
-5.5,-5.5,7.3,0.755407336,0.631984919,0.768491205,0.790572311
-5.5,-5.5,7.4,0.762758946,0.634725704,0.768833987,0.787815122
-5.5,-5.5,7.5,0.764579787,0.636115877,0.759576656,0.783433269
-5.5,-5.5,7.6,0.759270157,0.631049034,0.743522956,0.775763278
-5.5,-5.5,7.7,0.747682789,0.620151961,0.728567108,0.763537503
-5.5,-5.5,7.8,0.740300378,0.610001735,0.76041566,0.74677151
-5.5,-5.5,7.9,0.752564865,0.619081273,0.783465891,0.749492437
-5.5,-5.5,8,0.754536854,0.631940369,0.768485505,0.738711394
-5.5,-5.5,8.1,0.753387824,0.639484121,0.746068321,0.72559564
-5.5,-5.5,8.2,0.75051623,0.637336265,0.712858556,0.719988736
-5.5,-5.5,8.3,0.744013355,0.626354611,0.665022951,0.722434075
-5.5,-5.5,8.4,0.731713238,0.614387228,0.603048001,0.728886351
-5.5,-5.5,8.5,0.713617755,0.612726772,0.534493416,0.732415369
-5.5,-5.5,8.6,0.706856517,0.616764788,0.474504234,0.748972798
-5.5,-5.5,8.7,0.704782216,0.614243585,0.439223735,0.766430466
-5.5,-5.5,8.8,0.698328507,0.607909208,0.426541281,0.758414529
-5.5,-5.5,8.9,0.690044219,0.599954783,0.416196816,0.739563174
-5.5,-5.5,9,0.680363544,0.598823879,0.397202714,0.723140115
-5.5,-5.5,9.1,0.668339183,0.604553681,0.373281585,0.715983254
-5.5,-5.5,9.2,0.652512117,0.610938887,0.360497168,0.717197012
-5.5,-5.5,9.3,0.635947665,0.609868692,0.404686346,0.720434034
-5.5,-5.5,9.4,0.632790012,0.602191415,0.49562996,0.753371111
-5.5,-5.5,9.5,0.634969056,0.597859862,0.564205703,0.77914233
-5.5,-5.5,9.6,0.638653194,0.60144718,0.596047156,0.787210064
-5.5,-5.5,9.7,0.642120789,0.607218647,0.602755426,0.782382528
-5.5,-5.5,9.8,0.644703383,0.609596953,0.600174148,0.770179788
-5.5,-5.5,9.9,0.645928398,0.604218258,0.599383178,0.755511225
-5.5,-5.5,10,0.645249477,0.592769368,0.610165818,0.740699935
-5.5,-5.5,10.1,0.650273566,0.5906392,0.668506916,0.736157524
-5.5,-5.5,10.2,0.661934591,0.603823799,0.719117958,0.752024797
-5.5,-5.5,10.3,0.674005183,0.61438151,0.740562526,0.768389937
-5.5,-5.5,10.4,0.684437382,0.617134106,0.729666352,0.776862701
-5.5,-5.5,10.5,0.695129679,0.614485197,0.703315871,0.781574606
-5.5,-5.5,10.6,0.705613235,0.610420139,0.667399277,0.783900027
-5.5,-5.5,10.7,0.712850255,0.611740789,0.623575695,0.78155788
-5.5,-5.5,10.8,0.716091032,0.620269359,0.582478273,0.77113283
-5.5,-5.5,10.9,0.722602412,0.626776871,0.547404157,0.764722219
-5.5,-5.5,11,0.729793351,0.624115518,0.517722029,0.758858301
-6,-6,5,0.583282472,0.586971348,0.865296451,0.641481531
-6,-6,5.1,0.585211669,0.586347612,0.849374058,0.647697849
-6,-6,5.2,0.587751897,0.59571201,0.825247293,0.65791531
-6,-6,5.3,0.59473423,0.606851507,0.794479142,0.659660246
-6,-6,5.4,0.611819081,0.611000057,0.764333338,0.646221153
-6,-6,5.5,0.638461988,0.599179152,0.742241414,0.682453727
-6,-6,5.6,0.662661543,0.598749026,0.726253717,0.748370136
-6,-6,5.7,0.68168826,0.614359317,0.706746066,0.766224248
-6,-6,5.8,0.695686184,0.627465186,0.67563328,0.763875292
-6,-6,5.9,0.704329497,0.630795506,0.630187997,0.761484048
-6,-6,6,0.708580236,0.622426157,0.57134854,0.765917263
-6,-6,6.1,0.709056415,0.609245327,0.501889019,0.769957167
-6,-6,6.2,0.705169671,0.608053958,0.418204481,0.752918383
-6,-6,6.3,0.706386982,0.626233033,0.347434559,0.764958385
-6,-6,6.4,0.723684303,0.632735749,0.391940838,0.811194755
-6,-6,6.5,0.739244234,0.630301511,0.42203197,0.824772806
-6,-6,6.6,0.74802283,0.622766603,0.431230197,0.820885239
-6,-6,6.7,0.748493304,0.619085964,0.436388553,0.808583513
-6,-6,6.8,0.74129337,0.625084908,0.453236538,0.795445831
-6,-6,6.9,0.729550909,0.636663765,0.489782987,0.784150538
-6,-6,7,0.715852626,0.64341066,0.579760885,0.757832831
-6,-6,7.1,0.727346271,0.637043832,0.716314436,0.754371089
-6,-6,7.2,0.744410662,0.633534481,0.756782943,0.767902583
-6,-6,7.3,0.755405145,0.631983734,0.768490116,0.768339955
-6,-6,7.4,0.762757636,0.634724855,0.768832728,0.765124944
-6,-6,7.5,0.764578563,0.63611567,0.759574254,0.759192866
-6,-6,7.6,0.759267753,0.631049098,0.743518781,0.750136347
-6,-6,7.7,0.747678347,0.620151475,0.728561201,0.737288783
-6,-6,7.8,0.740295027,0.610000693,0.760410087,0.712297863
