freq (GHz),Base,Ideal,Defect 5mm
13.9,0.500000032,0.738483319,0.758632619
14,0.500000034,0.716918201,0.736754278
14.1,0.500000035,0.711972532,0.724034923
14.2,0.500000037,0.719522698,0.717489581
14.3,0.500000039,0.715555417,0.699119714
14.4,0.500000041,0.718914685,0.687055652
14.5,0.500000043,0.743465196,0.700981166
14.6,0.500000045,0.777179178,0.729084015
14.7,0.500000047,0.791700697,0.740282008
14.8,0.50000005,0.796510309,0.744642217
14.9,0.500000052,0.809111933,0.75820057
15,0.500000055,0.829425585,0.780036569
15.1,0.500000057,0.832030734,0.789761653
15.2,0.50000006,0.826906718,0.793314625
15.3,0.500000063,0.8279678,0.804337127
15.4,0.500000066,0.833180113,0.819937883
15.5,0.500000069,0.822648205,0.819448168
15.6,0.500000072,0.8081058,0.810609722
15.7,0.500000075,0.802146732,0.808150014
15.8,0.500000078,0.798668054,0.808211629
15.9,0.500000082,0.779746143,0.793342642
16,0.500000086,0.759236828,0.777383967
16.1,0.500000089,0.750697252,0.773029145
16.2,0.500000093,0.747727355,0.769664686
16.3,0.500000097,0.729485636,0.746192015
16.4,0.500000102,0.713797991,0.722348722
16.5,0.500000106,0.712569974,0.712505225
16.6,0.500000111,0.721905095,0.710963281
16.7,0.500000115,0.727935652,0.698225011
16.8,0.50000012,0.743847864,0.698429885
16.9,0.500000125,0.766539992,0.718731949
17,0.500000131,0.790676682,0.742363434
17.1,0.500000136,0.797402634,0.748736271
17.2,0.500000142,0.805571395,0.754364669
17.3,0.500000148,0.820397321,0.768034113
17.4,0.500000154,0.832559888,0.786738305
17.5,0.50000016,0.824178459,0.791282611
17.6,0.500000166,0.819463209,0.79835892
17.7,0.500000173,0.824539987,0.811167786
17.8,0.50000018,0.827763299,0.819669698
17.9,0.500000187,0.809417824,0.809026474
18,0.500000194,0.794146555,0.798969864
18.1,0.500000202,0.791048669,0.7993789
18.2,0.50000021,0.787638518,0.798425723
18.3,0.500000218,0.766416317,0.782381939
18.4,0.500000227,0.747611305,0.767318765
18.5,0.500000235,0.742567181,0.762246015
18.6,0.500000244,0.739898088,0.755575018
18.7,0.500000254,0.721871688,0.732554569
18.8,0.500000263,0.711878481,0.713181924
18.9,0.500000273,0.720671528,0.707788749
19,0.500000283,0.735957676,0.707658487
19.1,0.500000294,0.742903176,0.702793938
19.2,0.500000305,0.757304559,0.715046135
19.3,0.500000316,0.783817306,0.736008532
19.4,0.500000328,0.806345794,0.752914967
19.5,0.50000034,0.805114626,0.752074495
19.6,0.500000352,0.806791538,0.758210806
19.7,0.500000365,0.821176029,0.778149271
19.8,0.500000378,0.834193399,0.796943255
19.9,0.500000391,0.823391785,0.795271245
20,0.500000405,0.813353627,0.796004621
20.1,0.500000419,0.815492775,0.805619886
20.2,0.500000434,0.817822661,0.811583573
20.3,0.500000449,0.799782474,0.798397488
20.4,0.500000465,0.783736404,0.787364553
20.5,0.500000481,0.7786999,0.786838664
20.6,0.500000498,0.774243779,0.78669078
20.7,0.500000515,0.754196687,0.771929247
20.8,0.500000532,0.738410554,0.758502854
20.9,0.50000055,0.735835612,0.752806249
21,0.500000569,0.735379981,0.745273356
21.1,0.500000588,0.720013331,0.72265917
21.2,0.500000608,0.714701867,0.708848855
21.3,0.500000628,0.730833823,0.711419934
21.4,0.500000649,0.756068808,0.718390291
21.5,0.50000067,0.764122425,0.720797375
21.6,0.500000692,0.77294315,0.728437611
21.7,0.500000715,0.792524662,0.747373398
21.8,0.500000738,0.810724668,0.763861448
21.9,0.500000762,0.811898982,0.765221371
22,0.500000786,0.812451961,0.769612432
22.1,0.500000812,0.820025842,0.785868944
22.2,0.500000838,0.825831672,0.800478098
22.3,0.500000864,0.816444469,0.797543532
22.4,0.500000891,0.809538756,0.795364093
22.5,0.50000092,0.80919614,0.801107792
22.6,0.500000948,0.804784651,0.801675861
22.7,0.500000978,0.78671152,0.788132387
22.8,0.500001008,0.774473815,0.78131776
22.9,0.50000104,0.771341572,0.784069651
23,0.500001072,0.763927765,0.780019774
23.1,0.500001104,0.744718684,0.761542324
23.2,0.500001138,0.732803127,0.747859828
23.3,0.500001173,0.732167778,0.743339292
23.4,0.500001208,0.731601007,0.735852344
23.5,0.500001245,0.723072119,0.717313781
23.6,0.500001282,0.727296195,0.707813781
23.7,0.50000132,0.747666871,0.713887433
23.8,0.50000136,0.767348657,0.728685007
23.9,0.5000014,0.774595753,0.732051685
24,0.500001441,0.787714861,0.739604862
24.1,0.500001484,0.804954062,0.754303013
24.2,0.500001527,0.813399185,0.766172491
24.3,0.500001571,0.809571181,0.769960231
24.4,0.500001617,0.813194535,0.779913657
24.5,0.500001664,0.822435864,0.793500597
24.6,0.500001711,0.82113304,0.798962004
24.7,0.500001761,0.806416892,0.792150494
24.8,0.500001811,0.800330325,0.791572418
24.9,0.500001862,0.802603898,0.797875074
25,0.500001915,0.795988325,0.795630283
25.1,0.500001969,0.775976434,0.7824857
25.2,0.500002024,0.764758775,0.777441491
25.3,0.500002081,0.764294332,0.78089504
25.4,0.500002139,0.755379185,0.773259464
25.5,0.500002198,0.737113772,0.753065537
25.6,0.500002259,0.729369428,0.739552629
25.7,0.500002321,0.733492022,0.736348341
25.8,0.500002385,0.732243734,0.727326503
25.9,0.50000245,0.726539921,0.711645689
26,0.500002517,0.740881074,0.710011817
26.1,0.500002585,0.767244623,0.726588445
26.2,0.500002655,0.781406229,0.736047895
26.3,0.500002726,0.781902312,0.734877372
26.4,0.500002799,0.792299259,0.745423245
26.5,0.500002874,0.811609595,0.765558795
26.6,0.50000295,0.818861848,0.776283445
26.7,0.500003028,0.810167337,0.775813592
26.8,0.500003108,0.809290845,0.783218132
26.9,0.50000319,0.817966009,0.797451112
27,0.500003274,0.816879734,0.800610105
27.1,0.500003359,0.801769842,0.790777663
27.2,0.500003446,0.793502505,0.788349767
27.3,0.500003535,0.794128826,0.795439413
27.4,0.500003627,0.786073754,0.794371282
27.5,0.50000372,0.767247985,0.78348357
27.6,0.500003815,0.757369298,0.778071101
27.7,0.500003913,0.757124623,0.777262862
27.8,0.500004012,0.747820285,0.764293472
27.9,0.500004114,0.731207333,0.743146373
28,0.500004218,0.72602746,0.732587279
28.1,0.500004324,0.734934994,0.732436733
28.2,0.500004433,0.739349136,0.72408358
28.3,0.500004544,0.740203572,0.711324476
28.4,0.500004657,0.753840963,0.718293446
28.5,0.500004772,0.77778703,0.73810885
28.6,0.50000489,0.791712735,0.745758698
28.7,0.500005011,0.793303612,0.744083469
28.8,0.500005134,0.799603344,0.753483252
28.9,0.50000526,0.812945151,0.772960981
29,0.500005388,0.816240664,0.781321786
29.1,0.500005519,0.810309846,0.780122392
29.2,0.500005652,0.809743249,0.785270523
29.3,0.500005788,0.813797743,0.795948829
29.4,0.500005928,0.807552472,0.794663148
29.5,0.50000607,0.793829663,0.785267466
