% Model,Multi2DJunePPTDetect.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 21 2023, 11:57"
% Table,Accumulated Probe Table 4 - 
% x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p",Point average: Electric field norm (V/m)
-4.5,-4.5,1,0.5402595614030549,0.5268314353994676,0.3733916193266274,0.9664625231393539,0.8961409360519393,0.8961409390387314,0.9388111528043703,1.094809988105712,1.0948099636425552,0.9388111186562961
-4.5,-4.5,1.1,0.5820302674001651,0.5439635604053136,0.3989933028213854,1.0351283030137837,0.9087577322966098,0.9087577386146797,0.9106622886149754,1.0680776649376431,1.0680776448699467,0.9106622503969114
-4.5,-4.5,1.2000000000000002,0.6242154349248534,0.5698107763521671,0.42595908296756074,1.0965705544914577,0.9007278225865853,0.9007278327305566,0.8742591980335002,1.031844616424349,1.0318446044077896,0.8742591590665941
-4.5,-4.5,1.3,0.6599847025059918,0.5964819903623971,0.44888636351007555,1.143172396100438,0.8678676850673729,0.8678676991667019,0.8375606851471754,0.9720034901356832,0.9720034885583224,0.8375606504543087
-4.5,-4.5,1.4000000000000001,0.6835673595283452,0.6138686838146646,0.4671658542603965,1.1655873899444413,0.808261735245089,0.8082617527809031,0.8063467047277725,0.8722084975595737,0.8722085065917772,0.8063466798291563
-4.5,-4.5,1.5,0.6919085525871141,0.6148913904647708,0.48491556391475826,1.158196745970944,0.7276908619406344,0.7276908815013937,0.7858056080061303,0.7421846102701986,0.7421846273157214,0.7858055965230112
-4.5,-4.5,1.6,0.6882933197929341,0.6127508158537834,0.508039435701851,1.1266034113773602,0.642820698192666,0.6428207176467238,0.7802659214837526,0.6402751208283736,0.6402751398746191,0.7802659228541573
-4.5,-4.5,1.7000000000000004,0.6807368546870012,0.6289584850185284,0.5357265668811381,1.0867645570555675,0.5736148247094495,0.5736148421094952,0.7888818658024562,0.6296952536057241,0.6296952680438427,0.7888818758958623
-4.5,-4.5,1.8,0.6762556943267116,0.6565489950243486,0.5619885272287504,1.0555602755496116,0.5312102674651015,0.5312102819726396,0.80432179006983,0.7017828526046658,0.7017828602421013,0.8043218043142734
-4.5,-4.5,1.9000000000000001,0.6784794227922701,0.6799354640122217,0.5833418131428793,1.0432855554509295,0.5149783680652251,0.5149783798540613,0.8146877100073596,0.8092780139878362,0.8092780160365997,0.8146877253542464
-4.5,-4.5,2,0.6883283791613105,0.6902026114396054,0.5995299850840441,1.0510868134391673,0.5169932456560286,0.5169932552544936,0.8042113149514332,0.9172390684219589,0.9172390667147737,0.8042113298253343
-4.5,-4.5,2.1,0.7038397240779067,0.685468841546472,0.6114756550365218,1.0687773746816565,0.5250849401448517,0.5250849479724162,0.7556919641896926,1.0120139185100645,1.012013914455128,0.7556919776320586
-4.5,-4.5,2.2,0.718621015031957,0.6727304004012116,0.6201304533253016,1.0731744497074225,0.5242421004804887,0.5242421067352733,0.6667052339454397,1.09593518701177,1.0959351817115142,0.6667052447895001
-4.5,-4.5,2.3000000000000003,0.7239432263939471,0.6700310017825091,0.6261143200874202,1.0395376092740611,0.5038755008797219,0.5038755057195531,0.5775132552780153,1.1754273089139988,1.1754273035538028,0.5775132626089365
-4.5,-4.5,2.400000000000001,0.7175782807453531,0.6752061763373101,0.6296148137886597,0.968680981554942,0.46979923589774836,0.4697992395916646,0.5474132982700392,1.2526017347931775,1.2526017305834511,0.5474133024316479
-4.5,-4.5,2.5,0.7064339247675118,0.6747019897448613,0.6302806461001714,0.8897554737170602,0.439974579028491,0.43997458186015465,0.5890603904920318,1.3234520583227745,1.3234520557715992,0.5890603927041604
-4.5,-4.5,2.6,0.6981626318536498,0.6687420390493157,0.6269662275348417,0.8311941625776887,0.42681061506440865,0.4268106172932706,0.6711649031137809,1.377049663551489,1.3770496622967434,0.6711649041222553
-4.5,-4.5,2.7,0.696303469947304,0.6625599355179658,0.617186472420766,0.8060251468952186,0.4315887348248843,0.4315887367281021,0.7592329418321349,1.40126948463353,1.4012694840279587,0.7592329418258439
-4.5,-4.5,2.8000000000000003,0.7014309339752478,0.6661738232695871,0.5962532384542804,0.8160530282801608,0.448600003858574,0.4486000057345527,0.8315735955111655,1.384502207051156,1.3845022065646297,0.8315735944613257
-4.5,-4.5,2.900000000000001,0.7120346564093846,0.6801810213630288,0.557478951302251,0.8540142807902925,0.46581656833876556,0.4658165705029025,0.8751384822184345,1.3160126053716312,1.316012604811593,0.8751384799491648
-4.5,-4.5,3,0.7228556107095749,0.6948415276083862,0.5021005983353176,0.8952775162305341,0.4599716911495505,0.45997169386043846,0.8895820388902692,1.2042377246979268,1.2042377247175238,0.8895820354707537
-4.5,-4.5,3.1,0.7265546405206309,0.693542652472207,0.469528957941604,0.8972837381932073,0.4029648727056213,0.40296487597735003,0.9172486423212618,1.1185190234197804,1.1185190261717912,0.9172486336143482
-4.5,-4.5,3.2,0.7244942385921135,0.6718812909303229,0.4938635890069583,0.8476971505970979,0.3073621527703975,0.3073621561377099,0.9949213356788063,1.1251612890227995,1.1251612967059372,0.9949213232110721
-4.5,-4.5,3.3000000000000007,0.7240242458479015,0.6515866587924775,0.535860911202967,0.7887648575032439,0.24019659647108538,0.24019660125397796,1.0859866850393287,1.1648869133930773,1.164886926404758,1.0859866700042013
-4.5,-4.5,3.400000000000001,0.7286462534825876,0.6494204453485567,0.5627149215678854,0.7557215016393725,0.22362148721442168,0.22362148794732187,1.1621717167783199,1.1800359503678366,1.1800359679736023,1.1621716997817626
-4.5,-4.5,3.5,0.735850815775106,0.6576540394144501,0.5620453783532179,0.7525445663706823,0.2550092677094699,0.25500926203627716,1.2096077722020873,1.1679485296789407,1.1679485495854978,1.2096077550691593
-4.5,-4.5,3.6,0.7400095266995295,0.6639686742949419,0.5272493875068168,0.7717041458018716,0.31233723509499434,0.31233722782435747,1.2232356142409653,1.1358265539813646,1.1358265717696547,1.2232356000710305
-4.5,-4.5,3.7,0.7356823765735326,0.6599947028752374,0.45533431850231265,0.8088963185486321,0.3674093765381675,0.3674093710794971,1.195964473138918,1.0795954354265465,1.079595445544179,1.1959644651511308
-4.5,-4.5,3.8000000000000007,0.7201843497834796,0.6421262192177631,0.3951045405658869,0.8586391561739283,0.393264384005177,0.3932643813865294,1.1167728276810285,0.991311660792924,0.9913116585416932,1.1167728278627551
-4.5,-4.5,3.900000000000001,0.702448815707228,0.6231283444470161,0.4488972355589551,0.883841742814317,0.38078329583321835,0.3807832949345482,1.016101761414483,0.936678144733138,0.9366781269821706,1.0161017715272274
-4.5,-4.5,4,0.6876975064784024,0.6277346799470493,0.5317331144246765,0.8429699912506395,0.37132167356447804,0.37132167333844274,0.9921126184293518,1.0346210530274997,1.034621020398512,0.9921126384168318
-4.5,-4.5,4.1,0.6709361733536887,0.6381208111222204,0.5825322168892642,0.7726331788713984,0.38886663075629235,0.3888666309174018,1.0348819257985789,1.1847062078893387,1.184706166490498,1.0348819507461833
