% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
7.5,9.8,0,0.589757981,0.645038346,0.277325681
7.5,9.9,0,0.582666094,0.639648864,0.290796413
7.5,10,0,0.579425517,0.632437076,0.301513515
7.5,10.1,0,0.58316544,0.630663058,0.328932299
7.5,10.2,0,0.595963119,0.636048155,0.360690622
7.5,10.3,0,0.604031191,0.643495732,0.393998779
7.5,10.4,0,0.608048575,0.645543619,0.417738228
7.5,10.5,0,0.616423873,0.646394503,0.436375902
7.5,10.6,0,0.630532631,0.648368676,0.452668599
7.5,10.7,0,0.645948121,0.646676997,0.463422156
7.5,10.8,0,0.660557966,0.641428282,0.470854765
7.5,10.9,0,0.678518877,0.637311462,0.469265011
7.5,11,0,0.695905503,0.639694981,0.459608653
7.4,9,0,0.701857981,0.665535134,0.231729493
7.4,9.1,0,0.693313954,0.666934046,0.21511175
7.4,9.2,0,0.683501465,0.664194589,0.208101006
7.4,9.3,0,0.670291601,0.65728312,0.224886687
7.4,9.4,0,0.660998191,0.655074946,0.233032407
7.4,9.5,0,0.644567547,0.65290423,0.239277962
7.4,9.6,0,0.622639428,0.650199096,0.247212393
7.4,9.7,0,0.603619897,0.647503573,0.259824752
7.4,9.8,0,0.590495958,0.644583304,0.274681478
7.4,9.9,0,0.583199131,0.639818824,0.287739267
7.4,10,0,0.579937085,0.63266841,0.298428553
7.4,10.1,0,0.583798763,0.630804109,0.325541113
7.4,10.2,0,0.596674195,0.636288831,0.356909335
7.4,10.3,0,0.604463332,0.644596218,0.390023281
7.4,10.4,0,0.608042033,0.648185363,0.413726414
7.4,10.5,0,0.61610121,0.650554131,0.432445749
7.4,10.6,0,0.630214467,0.653934419,0.448975993
7.4,10.7,0,0.645720647,0.653456096,0.460135816
7.4,10.8,0,0.660625624,0.648692955,0.468120971
7.4,10.9,0,0.678936073,0.643885876,0.466874873
7.4,11,0,0.696572573,0.643067753,0.457527856
7.3,9,0,0.702888508,0.661178862,0.23253746
7.3,9.1,0,0.694350458,0.663498536,0.215868908
7.3,9.2,0,0.684662274,0.662514277,0.208379519
7.3,9.3,0,0.671750156,0.65617465,0.225679996
7.3,9.4,0,0.662750733,0.654853813,0.234277693
7.3,9.5,0,0.646321525,0.652980026,0.240338396
7.3,9.6,0,0.62404962,0.649883989,0.247161473
7.3,9.7,0,0.604763006,0.646553632,0.25839783
7.3,9.8,0,0.591308695,0.643509165,0.272238641
7.3,9.9,0,0.583813351,0.639282877,0.284816631
7.3,10,0,0.580527165,0.632346152,0.295438246
7.3,10.1,0,0.584543314,0.630098184,0.322192094
7.3,10.2,0,0.597410277,0.635244859,0.353137337
7.3,10.3,0,0.605082864,0.644193144,0.386032053
7.3,10.4,0,0.608050012,0.649180342,0.409677992
7.3,10.5,0,0.615994918,0.653130708,0.4284599
7.3,10.6,0,0.629873114,0.657977529,0.445208772
7.3,10.7,0,0.645633267,0.659167774,0.456759327
7.3,10.8,0,0.660791257,0.655615423,0.465288395
7.3,10.9,0,0.679443316,0.651174749,0.464379504
7.3,11,0,0.697376678,0.649530372,0.455347015
7.2,9,0,0.703981556,0.657552775,0.233316441
7.2,9.1,0,0.695442738,0.659975185,0.216597627
7.2,9.2,0,0.685873468,0.660520414,0.208580867
7.2,9.3,0,0.673262621,0.654892658,0.226390345
7.2,9.4,0,0.6645648,0.654230941,0.235512751
7.2,9.5,0,0.648140801,0.65274197,0.24151525
7.2,9.6,0,0.625600683,0.64967589,0.247359554
7.2,9.7,0,0.605986994,0.645689305,0.257254603
7.2,9.8,0,0.592209514,0.642103184,0.270021791
7.2,9.9,0,0.584511773,0.638188692,0.282050267
7.2,10,0,0.581211492,0.631664609,0.292559033
7.2,10.1,0,0.585379987,0.628878566,0.318890797
7.2,10.2,0,0.598340692,0.633277834,0.349368387
7.2,10.3,0,0.605721477,0.642285597,0.382013299
7.2,10.4,0,0.608217711,0.64847746,0.405576837
7.2,10.5,0,0.615879046,0.653853357,0.424396965
7.2,10.6,0,0.629725268,0.660130341,0.441340452
7.2,10.7,0,0.645570841,0.663062973,0.453260715
7.2,10.8,0,0.66107455,0.661165801,0.462322084
7.2,10.9,0,0.68005323,0.657801544,0.461739615
7.2,11,0,0.698267608,0.656300136,0.453016061
7.1,9,0,0.705141128,0.655554743,0.234067763
7.1,9.1,0,0.696595305,0.656893122,0.217302163
7.1,9.2,0,0.687136645,0.658491394,0.208710987
7.1,9.3,0,0.674825072,0.653782976,0.227018624
7.1,9.4,0,0.666436355,0.653558131,0.236731142
7.1,9.5,0,0.650017935,0.65236178,0.242794624
7.1,9.6,0,0.627184718,0.649574256,0.247797864
7.1,9.7,0,0.607295939,0.645246052,0.256407822
7.1,9.8,0,0.593199816,0.64077506,0.268058071
7.1,9.9,0,0.58530185,0.636781233,0.279472671
7.1,10,0,0.581989216,0.630802305,0.289830302
7.1,10.1,0,0.586321854,0.627563539,0.315677193
7.1,10.2,0,0.599467274,0.630904019,0.345639278
7.1,10.3,0,0.606308673,0.639159438,0.378003479
7.1,10.4,0,0.608527818,0.646195257,0.401465262
7.1,10.5,0,0.615810185,0.65275958,0.420307458
7.1,10.6,0,0.629751348,0.6602622,0.437430468
7.1,10.7,0,0.645593304,0.664793045,0.449708046
7.1,10.8,0,0.661436828,0.664709454,0.459285393
7.1,10.9,0,0.68079295,0.662951851,0.459000997
7.1,11,0,0.699273379,0.6618999,0.450564741
7,9,0,0.706360065,0.656273462,0.234791906
7,9.1,0,0.697797302,0.6549273,0.217976352
7,9.2,0,0.688439839,0.656728126,0.208749844
7,9.3,0,0.676428256,0.653093375,0.227539718
7,9.4,0,0.668347651,0.653178698,0.237911218
7,9.5,0,0.651938761,0.652114773,0.244151845
7,9.6,0,0.628910465,0.649649236,0.248457846
7,9.7,0,0.608665101,0.645413922,0.255862073
7,9.8,0,0.594262694,0.640017524,0.266365865
7,9.9,0,0.586168902,0.635424777,0.277095165
7,10,0,0.582851581,0.629950626,0.287248192
7,10.1,0,0.58736584,0.626531513,0.312527918
7,10.2,0,0.600605505,0.628728228,0.341920435
7,10.3,0,0.607229024,0.635484529,0.373970395
7,10.4,0,0.608881819,0.64267438,0.397304836
7,10.5,0,0.61589342,0.65013211,0.416148228
7,10.6,0,0.629785506,0.658478692,0.433433779
