x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 3","Electric field norm (V/m), Boundary Probe 7","Electric field norm (V/m), Boundary Probe 8","Electric field norm (V/m), Boundary Probe 9","Electric field norm (V/m), Boundary Probe 10"
-9,-9,24,0.672724338,0.604164025,0.65621924,0.916435298,1.064279913,1.06427773,1.001386331,1.001271798,1.064279913,1.001385236
-9,-9,24.1,0.67692185,0.605238284,0.661605582,0.916238989,1.062346709,1.062342502,1.000957663,0.99681595,1.062346709,1.000956725
-9,-9,24.2,0.681078943,0.605898458,0.651894576,0.915986156,1.06020127,1.060195601,1.001625822,0.994294906,1.06020127,1.001625215
-9,-9,24.3,0.682800985,0.606151979,0.628188985,0.915649801,1.057133405,1.05712707,1.003655036,0.993750191,1.057133405,1.00365496
-9,-9,24.4,0.683470664,0.60605623,0.625876781,0.912964154,1.060765636,1.06075969,1.00742765,0.989500945,1.060765636,1.007427704
-9,-9,24.5,0.690694904,0.610182976,0.655879931,0.911011157,1.06901228,1.069005652,1.008795704,0.985319999,1.06901228,1.008795472
-9,-9,24.6,0.697956739,0.614719273,0.661204499,0.906472362,1.071914582,1.071907654,1.005031266,0.98199814,1.071914582,1.005030931
-9,-9,24.7,0.703656135,0.615667635,0.650717326,0.905831791,1.067972311,1.067965457,1.00166328,0.98531304,1.067972311,1.001662976
-9,-9,24.8,0.709263286,0.614252136,0.63760889,0.908620148,1.062628337,1.062621661,0.999818278,0.991638714,1.062628337,0.999818058
-9,-9,24.9,0.71518757,0.612971107,0.617292603,0.912636639,1.058489388,1.058483397,0.998727927,0.998535404,1.058489388,0.998727744
-9,-9,25,0.720255697,0.611614285,0.582446158,0.916292683,1.055149474,1.05514493,0.997608104,1.00477088,1.055149474,0.997607889
-9,-9,25.1,0.72183432,0.611428944,0.532815041,0.917522747,1.051963581,1.051961116,0.995986575,1.007790403,1.051963581,0.995986656
-9,-9,25.2,0.723827434,0.613873086,0.490011321,0.918302152,1.05670914,1.056708863,0.996453632,1.011188181,1.05670914,0.996453949
-9,-9,25.3,0.72862374,0.615423572,0.453385573,0.916342787,1.060878274,1.060877706,0.993957352,1.012293563,1.060878274,0.993957818
-9,-9,25.4,0.732439202,0.615294626,0.427287687,0.915236882,1.057442765,1.057440692,0.992641016,1.020175506,1.057442765,0.992641908
-9,-9,25.5,0.732813121,0.617929653,0.412846512,0.914793726,1.048652111,1.04864882,0.994523146,1.026046458,1.048652111,0.994524472
-9,-9,25.6,0.73226125,0.621848215,0.405896589,0.914284151,1.04116734,1.041163707,0.99755391,1.027123549,1.04116734,0.997555592
