x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-9,-9,20.5,0.68716,0.61721,0.37397,0.46413,1.0406,1.0406,1.012,1.0059,1.0059,1.012
-9,-9,20.6,0.69405,0.61723,0.3623,0.46488,1.0559,1.0559,1.0087,1.0027,1.0027,1.0087
-9,-9,20.7,0.70256,0.61869,0.42195,0.47502,1.0691,1.0691,1.0103,1.0102,1.0102,1.0104
-9,-9,20.8,0.71082,0.62085,0.45835,0.4878,1.0804,1.0804,1.0144,1.0202,1.0202,1.0144
-9,-9,20.9,0.71756,0.62323,0.47503,0.49789,1.0898,1.0898,1.0172,1.0296,1.0296,1.0172
-9,-9,21,0.72117,0.62343,0.47199,0.50252,1.0961,1.0961,1.0177,1.0341,1.0342,1.0177
-9,-9,21.1,0.72104,0.61978,0.45558,0.50436,1.098,1.098,1.0173,1.0332,1.0332,1.0173
-9,-9,21.2,0.71618,0.6149,0.44401,0.50429,1.0978,1.0978,1.0183,1.024,1.024,1.0183
-9,-9,21.3,0.71443,0.6166,0.5117,0.49625,1.1115,1.1115,1.0173,1.0068,1.0068,1.0173
-9,-9,21.4,0.71818,0.61895,0.59564,0.48361,1.1251,1.1251,1.015,1.0008,1.0008,1.015
-9,-9,21.5,0.71987,0.62006,0.638,0.47485,1.1282,1.1281,1.021,0.99622,0.99622,1.021
-9,-9,21.6,0.72039,0.62099,0.66333,0.46576,1.1278,1.1278,1.0268,0.99505,0.99505,1.0268
-9,-9,21.7,0.72045,0.62188,0.67569,0.45638,1.1256,1.1256,1.0289,0.99682,0.99682,1.0289
-9,-9,21.8,0.71947,0.62233,0.67074,0.44691,1.1212,1.1212,1.0283,0.99872,0.99872,1.0283
-9,-9,21.9,0.71533,0.62268,0.64252,0.43758,1.1124,1.1124,1.0266,0.99735,0.99735,1.0266
-9,-9,22,0.70736,0.62458,0.59502,0.42915,1.1029,1.1029,1.0243,0.99317,0.99316,1.0243
-9,-9,22.1,0.70523,0.62266,0.57842,0.41799,1.106,1.106,1.0177,0.99852,0.99852,1.0177
-9,-9,22.2,0.70608,0.61872,0.56364,0.40101,1.1046,1.1046,1.0176,1.0049,1.0049,1.0176
-9,-9,22.3,0.70423,0.6179,0.55072,0.38847,1.0978,1.0978,1.0209,1.008,1.008,1.0209
-9,-9,22.4,0.70174,0.61729,0.54705,0.38082,1.0887,1.0887,1.0202,1.0064,1.0064,1.0202
-9,-9,22.5,0.69965,0.61756,0.5401,0.37764,1.078,1.078,1.0159,1.0001,1.0001,1.0159
-9,-9,22.6,0.69765,0.61798,0.51951,0.37878,1.0657,1.0656,1.0104,0.99192,0.99192,1.0104
-9,-9,22.7,0.69344,0.61571,0.47844,0.38247,1.0515,1.0515,1.0063,0.98735,0.98735,1.0063
-9,-9,22.8,0.68565,0.61114,0.42265,0.38813,1.0413,1.0413,1.0051,0.99543,0.99544,1.0051
-9,-9,22.9,0.68358,0.60981,0.36924,0.40322,1.0459,1.0459,1.0044,1.0104,1.0104,1.0044
-9,-9,23,0.68322,0.6103,0.33359,0.4123,1.0465,1.0465,1.0079,1.0227,1.0227,1.0079
-9,-9,23.1,0.68213,0.61102,0.3959,0.42294,1.0439,1.0439,1.0094,1.0305,1.0305,1.0094
-9,-9,23.2,0.68007,0.61148,0.43208,0.43591,1.0398,1.0398,1.0089,1.031,1.031,1.0089
-9,-9,23.3,0.67711,0.61181,0.44333,0.44869,1.0365,1.0365,1.0089,1.0268,1.0268,1.0089
-9,-9,23.4,0.67302,0.61131,0.43424,0.4613,1.0339,1.0339,1.0097,1.0213,1.0213,1.0097
-9,-9,23.5,0.66677,0.60967,0.41298,0.4718,1.0319,1.0319,1.0098,1.0184,1.0184,1.0098
-9,-9,23.6,0.65813,0.60752,0.42062,0.47631,1.0368,1.0368,1.0069,1.0191,1.0191,1.0069
-9,-9,23.7,0.65791,0.60418,0.52181,0.48819,1.0493,1.0493,1.0072,1.0128,1.0128,1.0072
