x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-4.5,-4.5,1,0.60751,0.55449,0.42375,1.086,0.94353,0.94353,0.82642,0.95577,0.95577,0.82642
-4.5,-4.5,1.1,0.64534,0.5697,0.44844,1.1396,0.93142,0.93142,0.781,0.96165,0.96165,0.781
-4.5,-4.5,1.2,0.67925,0.58864,0.46873,1.1861,0.90183,0.90183,0.74548,0.96485,0.96485,0.74548
-4.5,-4.5,1.3,0.70556,0.61157,0.48463,1.2179,0.85061,0.85061,0.72187,0.93296,0.93296,0.72187
-4.5,-4.5,1.4,0.7187,0.62729,0.49823,1.2238,0.77462,0.77462,0.70968,0.8477,0.8477,0.70968
-4.5,-4.5,1.5,0.7165,0.62741,0.51649,1.1983,0.68095,0.68095,0.71138,0.73486,0.73486,0.71138
-4.5,-4.5,1.6,0.70468,0.62718,0.54404,1.1509,0.58982,0.58982,0.72885,0.66792,0.66792,0.72885
-4.5,-4.5,1.7,0.69244,0.64479,0.5744,1.1011,0.52194,0.52194,0.7574,0.69441,0.69441,0.7574
-4.5,-4.5,1.8,0.686,0.67072,0.60039,1.0663,0.48496,0.48496,0.78762,0.78656,0.78656,0.78762
-4.5,-4.5,1.9,0.68793,0.69021,0.62036,1.0553,0.47464,0.47464,0.80769,0.89825,0.89825,0.80769
-4.5,-4.5,2,0.69861,0.69503,0.63542,1.068,0.48144,0.48144,0.80282,1.0015,1.0015,0.80282
-4.5,-4.5,2.1,0.71599,0.68507,0.64706,1.0935,0.49281,0.49281,0.75729,1.0866,1.0866,0.75729
-4.5,-4.5,2.2,0.7336,0.66922,0.65645,1.1076,0.49368,0.49368,0.67103,1.1574,1.1574,0.67103
-4.5,-4.5,2.3,0.74233,0.66788,0.66436,1.084,0.47336,0.47336,0.58785,1.2215,1.2215,0.58785
-4.5,-4.5,2.4,0.73945,0.67652,0.67119,1.023,0.43759,0.43759,0.57042,1.2811,1.2811,0.57042
-4.5,-4.5,2.5,0.73176,0.67656,0.67685,0.95405,0.4045,0.4045,0.62997,1.332,1.332,0.62997
-4.5,-4.5,2.6,0.72738,0.67039,0.68057,0.90636,0.38687,0.38687,0.73007,1.363,1.363,0.73007
-4.5,-4.5,2.7,0.73053,0.66416,0.68023,0.89358,0.3865,0.3865,0.83321,1.3611,1.3611,0.83321
-4.5,-4.5,2.8,0.7424,0.66358,0.67123,0.91803,0.39819,0.39819,0.91681,1.3139,1.3139,0.91681
-4.5,-4.5,2.9,0.7621,0.6711,0.64586,0.97314,0.41068,0.41068,0.96602,1.2113,1.2113,0.96602
-4.5,-4.5,3,0.78576,0.68054,0.59954,1.035,0.4019,0.4019,0.9749,1.0651,1.0651,0.9749
-4.5,-4.5,3.1,0.80393,0.67927,0.55352,1.0591,0.35196,0.35196,0.97039,0.9591,0.9591,0.97039
-4.5,-4.5,3.2,0.80883,0.6626,0.54297,1.0245,0.296,0.296,0.99106,0.98522,0.98522,0.99106
-4.5,-4.5,3.3,0.80352,0.64658,0.55024,0.96309,0.30011,0.30011,1.0311,1.0742,1.0742,1.0311
-4.5,-4.5,3.4,0.79146,0.6455,0.54244,0.9059,0.35855,0.35855,1.0698,1.1419,1.1419,1.0698
-4.5,-4.5,3.5,0.77217,0.65284,0.50767,0.85995,0.43056,0.43056,1.0949,1.1767,1.1767,1.0949
-4.5,-4.5,3.6,0.74492,0.6568,0.44378,0.82611,0.49112,0.49112,1.1006,1.1887,1.1887,1.1006
-4.5,-4.5,3.7,0.71213,0.64966,0.35332,0.81415,0.52622,0.52622,1.0782,1.174,1.174,1.0782
-4.5,-4.5,3.8,0.68105,0.62868,0.37078,0.8362,0.52027,0.52027,1.0147,1.1157,1.1157,1.0147
-4.5,-4.5,3.9,0.65671,0.60773,0.434,0.86265,0.46799,0.46799,0.93628,1.0698,1.0698,0.93628
-4.5,-4.5,4,0.64344,0.61839,0.51246,0.83635,0.42103,0.42103,0.9332,1.1496,1.1496,0.9332
-4.5,-4.5,4.1,0.63286,0.63699,0.56265,0.7784,0.42454,0.42454,0.99072,1.2697,1.2697,0.99072
-4.5,-4.5,4.2,0.62082,0.6432,0.58313,0.72876,0.46637,0.46637,1.0411,1.3473,1.3473,1.0411
-4.5,-4.5,4.3,0.60659,0.63822,0.58807,0.69444,0.52183,0.52183,1.0643,1.3837,1.3837,1.0643
-4.5,-4.5,4.4,0.58905,0.6267,0.58652,0.66969,0.57743,0.57743,1.0598,1.3908,1.3908,1.0598
-4.5,-4.5,4.5,0.56846,0.61793,0.58896,0.65628,0.62249,0.62249,1.0242,1.3628,1.3628,1.0242
-4.5,-4.5,4.6,0.55316,0.62324,0.62179,0.67656,0.63503,0.63503,0.93687,1.2732,1.2732,0.93687
-4.5,-4.5,4.7,0.55859,0.63676,0.70235,0.72654,0.58885,0.58885,0.83362,1.1555,1.1555,0.83362
-4.5,-4.5,4.8,0.57842,0.63141,0.75295,0.72845,0.52926,0.52926,0.8782,1.1417,1.1417,0.8782
-4.5,-4.5,4.9,0.58611,0.61393,0.74884,0.69999,0.51929,0.51929,0.98535,1.1577,1.1577,0.98535
-4.5,-4.5,5,0.58454,0.60143,0.72595,0.68489,0.55294,0.55294,1.06,1.1426,1.1426,1.06
-4.5,-4.5,5.1,0.57737,0.59856,0.69706,0.68957,0.59591,0.59591,1.0999,1.1141,1.1141,1.0999
-4.5,-4.5,5.2,0.56576,0.59913,0.66416,0.70706,0.63447,0.63447,1.1133,1.0911,1.0911,1.1133
-4.5,-4.5,5.3,0.55431,0.59953,0.63129,0.72964,0.65659,0.65659,1.104,1.0657,1.0657,1.104
-4.5,-4.5,5.4,0.55632,0.59895,0.60842,0.76818,0.63058,0.63058,1.0634,0.98437,0.98437,1.0634
-4.5,-4.5,5.5,0.57688,0.58717,0.6032,0.83531,0.50517,0.50517,1.0358,0.89401,0.89401,1.0358
-4.5,-4.5,5.6,0.59699,0.58584,0.60977,0.85402,0.41826,0.41826,1.1169,0.97863,0.97863,1.1169
-4.5,-4.5,5.7,0.61474,0.59916,0.61343,0.84076,0.41896,0.41896,1.1905,1.0497,1.0497,1.1905
-4.5,-4.5,5.8,0.6323,0.61274,0.60179,0.8245,0.44048,0.44048,1.2255,1.0776,1.0776,1.2255
-4.5,-4.5,5.9,0.64621,0.62021,0.56934,0.81068,0.46798,0.46798,1.2337,1.0888,1.0888,1.2337
-4.5,-4.5,6,0.65456,0.61834,0.5168,0.80118,0.49704,0.49704,1.2227,1.096,1.096,1.2227
-4.5,-4.5,6.1,0.65702,0.60936,0.44788,0.79362,0.51972,0.51972,1.19,1.0939,1.0939,1.19
-4.5,-4.5,6.2,0.65316,0.60737,0.35833,0.79102,0.51506,0.51506,1.1071,1.0335,1.0335,1.1071
-4.5,-4.5,6.3,0.65443,0.62212,0.40132,0.81448,0.46088,0.46088,1.0548,0.95499,0.95499,1.0548
-4.5,-4.5,6.4,0.67093,0.62737,0.48504,0.80388,0.43714,0.43714,1.1433,1.0041,1.0041,1.1433
-4.5,-4.5,6.5,0.68357,0.62767,0.52739,0.77972,0.44882,0.44882,1.1976,1.0259,1.0259,1.1976
-4.5,-4.5,6.6,0.69043,0.62566,0.55019,0.75501,0.4745,0.4745,1.215,1.0206,1.0206,1.215
-4.5,-4.5,6.7,0.69161,0.62929,0.56439,0.73174,0.50966,0.50966,1.2096,1.0047,1.0047,1.2096
-4.5,-4.5,6.8,0.68826,0.63926,0.57732,0.71458,0.54821,0.54821,1.1886,0.98721,0.98721,1.1886
-4.5,-4.5,6.9,0.68191,0.65079,0.59472,0.7063,0.5793,0.5793,1.1527,0.96024,0.96024,1.1527
-4.5,-4.5,7,0.67638,0.65436,0.6548,0.70758,0.58114,0.58114,1.0775,0.87385,0.87385,1.0775
-4.5,-4.5,7.1,0.69721,0.64218,0.79044,0.71651,0.55039,0.55039,1.0893,0.83453,0.83453,1.0893
-4.5,-4.5,7.2,0.72026,0.63339,0.8315,0.70316,0.5472,0.5472,1.1659,0.84845,0.84845,1.1659
-4.5,-4.5,7.3,0.73666,0.63308,0.83446,0.69756,0.55807,0.55807,1.1971,0.84285,0.84285,1.1971
-4.5,-4.5,7.4,0.74941,0.63952,0.81916,0.70144,0.57691,0.57691,1.1958,0.84645,0.84645,1.1958
-4.5,-4.5,7.5,0.75723,0.64485,0.78704,0.7107,0.59956,0.59956,1.1752,0.86539,0.86539,1.1752
-4.5,-4.5,7.6,0.75728,0.64249,0.74059,0.72305,0.61905,0.61905,1.1469,0.89425,0.89425,1.1469
-4.5,-4.5,7.7,0.74777,0.63008,0.68824,0.73927,0.62331,0.62331,1.1125,0.91045,0.91045,1.1125
-4.5,-4.5,7.8,0.74169,0.6148,0.6824,0.76729,0.5857,0.5857,1.0612,0.87298,0.87298,1.0612
-4.5,-4.5,7.9,0.75953,0.62166,0.69716,0.77399,0.54776,0.54776,1.1242,0.89843,0.89843,1.1242
-4.5,-4.5,8,0.76352,0.63331,0.68269,0.75559,0.53301,0.53301,1.1807,0.88321,0.88321,1.1807
-4.5,-4.5,8.1,0.76175,0.64197,0.66594,0.73735,0.53686,0.53686,1.2037,0.86337,0.86337,1.2037
-4.5,-4.5,8.2,0.75678,0.64274,0.64033,0.72557,0.55693,0.55693,1.2026,0.86631,0.86631,1.2026
-4.5,-4.5,8.3,0.74728,0.6359,0.59977,0.72024,0.58512,0.58512,1.1855,0.89152,0.89152,1.1855
-4.5,-4.5,8.4,0.7309,0.62686,0.5442,0.7178,0.61144,0.61144,1.1578,0.92901,0.92901,1.1578
-4.5,-4.5,8.5,0.70719,0.6244,0.48144,0.71763,0.62141,0.62141,1.1105,0.95038,0.95038,1.1105
-4.5,-4.5,8.6,0.69629,0.62798,0.42568,0.74712,0.59488,0.59488,1.0956,0.96169,0.96169,1.0956
-4.5,-4.5,8.7,0.69194,0.62729,0.38788,0.74093,0.57123,0.57123,1.1649,0.96717,0.96717,1.1649
-4.5,-4.5,8.8,0.68422,0.62086,0.36671,0.71275,0.55645,0.55645,1.2103,0.92493,0.92493,1.2103
-4.5,-4.5,8.9,0.67544,0.61489,0.35562,0.68431,0.55997,0.55997,1.2276,0.88848,0.88848,1.2276
-4.5,-4.5,9,0.66578,0.61662,0.35358,0.66528,0.57923,0.57923,1.2216,0.87724,0.87724,1.2216
-4.5,-4.5,9.1,0.65401,0.6224,0.37329,0.6577,0.60689,0.60689,1.1997,0.88899,0.88899,1.1997
-4.5,-4.5,9.2,0.63837,0.6255,0.42452,0.65767,0.6321,0.6321,1.1668,0.91466,0.91466,1.1668
-4.5,-4.5,9.3,0.62123,0.62172,0.51987,0.67253,0.63126,0.63126,1.1188,0.9354,0.9354,1.1188
-4.5,-4.5,9.4,0.61784,0.61248,0.63644,0.70789,0.61058,0.61058,1.1453,0.98806,0.98806,1.1453
-4.5,-4.5,9.5,0.61833,0.60665,0.7161,0.70773,0.58133,0.58133,1.1946,0.97629,0.97629,1.1946
-4.5,-4.5,9.6,0.6183,0.60841,0.75495,0.69386,0.56681,0.56681,1.2203,0.94105,0.94105,1.2203
-4.5,-4.5,9.7,0.61732,0.6116,0.76426,0.6855,0.57331,0.57331,1.2136,0.92911,0.92911,1.2136
-4.5,-4.5,9.8,0.61613,0.61084,0.7551,0.68997,0.59121,0.59121,1.1867,0.94466,0.94466,1.1867
-4.5,-4.5,9.9,0.61378,0.60367,0.73501,0.70531,0.61184,0.61184,1.1506,0.97676,0.97676,1.1506
-4.5,-4.5,10,0.60962,0.59243,0.71511,0.72479,0.62389,0.62389,1.1058,1.0115,1.0115,1.1058
-4.5,-4.5,10.1,0.61454,0.58981,0.74191,0.76274,0.621,0.621,1.074,1.0635,1.0635,1.074
-4.5,-4.5,10.2,0.62918,0.60028,0.77552,0.78632,0.59998,0.59998,1.0944,1.1068,1.1068,1.0944
-4.5,-4.5,10.3,0.64564,0.60789,0.79038,0.78151,0.57186,0.57186,1.1328,1.0846,1.0846,1.1328
-4.5,-4.5,10.4,0.65861,0.60866,0.77726,0.76078,0.56828,0.56828,1.1562,1.0502,1.0502,1.1562
-4.5,-4.5,10.5,0.66893,0.60809,0.74978,0.74273,0.58541,0.58541,1.1557,1.0375,1.0375,1.1557
-4.5,-4.5,10.6,0.67729,0.60889,0.71224,0.72957,0.61201,0.61201,1.1399,1.0375,1.0375,1.1399
-4.5,-4.5,10.7,0.68146,0.61611,0.66447,0.71756,0.64131,0.64131,1.1135,1.0403,1.0403,1.1135
-4.5,-4.5,10.8,0.68108,0.62632,0.61555,0.7094,0.66527,0.66527,1.075,1.0431,1.0431,1.075
-4.5,-4.5,10.9,0.68458,0.63189,0.57096,0.71363,0.67797,0.67797,1.0671,1.0774,1.0774,1.0671
-4.5,-4.5,11,0.69211,0.62674,0.53168,0.71592,0.65851,0.65851,1.0896,1.0912,1.0912,1.0896
-4.5,-4.5,11.1,0.7024,0.61605,0.50437,0.69743,0.63074,0.63074,1.1373,1.0559,1.0559,1.1373
-4.5,-4.5,11.2,0.70964,0.61531,0.48637,0.66377,0.62908,0.62908,1.1621,1.0302,1.0302,1.1621
-4.5,-4.5,11.3,0.71503,0.62313,0.47511,0.63746,0.64777,0.64777,1.1612,1.0317,1.0317,1.1612
-4.5,-4.5,11.4,0.71861,0.63126,0.47219,0.62133,0.67582,0.67582,1.1449,1.0442,1.0442,1.1449
-4.5,-4.5,11.5,0.71792,0.6342,0.48112,0.61098,0.70324,0.70324,1.1163,1.0571,1.0571,1.1163
-4.5,-4.5,11.6,0.71515,0.63083,0.50161,0.61215,0.72596,0.72596,1.0954,1.0835,1.0835,1.0954
-4.5,-4.5,11.7,0.70986,0.62486,0.52745,0.62144,0.72481,0.72481,1.093,1.1245,1.1245,1.093
-4.5,-4.5,11.8,0.71121,0.62661,0.53889,0.64146,0.68164,0.68164,1.1297,1.138,1.138,1.1297
-4.5,-4.5,11.9,0.71868,0.63424,0.51801,0.64515,0.63929,0.63929,1.1762,1.1116,1.1116,1.1762
-4.5,-4.5,12,0.72373,0.63733,0.49454,0.63537,0.62873,0.62873,1.1856,1.1136,1.1136,1.1856
-4.5,-4.5,12.1,0.72755,0.63588,0.48308,0.63429,0.6337,0.6337,1.1735,1.1286,1.1286,1.1735
-4.5,-4.5,12.2,0.73045,0.63148,0.48174,0.6411,0.64645,0.64645,1.1507,1.1354,1.1354,1.1507
-4.5,-4.5,12.3,0.73152,0.62743,0.49762,0.65198,0.66477,0.66477,1.1241,1.1325,1.1325,1.1241
-4.5,-4.5,12.4,0.72801,0.62616,0.53404,0.66247,0.68052,0.68052,1.1023,1.1365,1.1365,1.1023
-4.5,-4.5,12.5,0.72176,0.62809,0.60275,0.67704,0.67793,0.67793,1.0865,1.1538,1.1538,1.0865
-4.5,-4.5,12.6,0.72401,0.62595,0.6765,0.70361,0.64485,0.64485,1.1062,1.1381,1.1381,1.1062
-4.5,-4.5,12.7,0.72854,0.62156,0.67971,0.71147,0.6226,0.6226,1.1445,1.0799,1.0799,1.1445
-4.5,-4.5,12.8,0.72446,0.61984,0.65161,0.69664,0.624,0.624,1.1557,1.0635,1.0635,1.1557
-4.5,-4.5,12.9,0.71718,0.6221,0.62135,0.67931,0.63595,0.63595,1.1472,1.0647,1.0647,1.1472
-4.5,-4.5,13,0.70989,0.6275,0.59227,0.66469,0.65557,0.65557,1.1251,1.0635,1.0635,1.1251
-4.5,-4.5,13.1,0.70288,0.63128,0.5649,0.65389,0.68095,0.68095,1.0992,1.0652,1.0652,1.0992
-4.5,-4.5,13.2,0.69473,0.62994,0.54234,0.64455,0.7023,0.7023,1.0709,1.0757,1.0757,1.0709
-4.5,-4.5,13.3,0.68884,0.62495,0.53694,0.64209,0.70398,0.70398,1.0556,1.1016,1.1016,1.0556
-4.5,-4.5,13.4,0.69409,0.62012,0.54481,0.66359,0.67297,0.67297,1.0901,1.086,1.086,1.0901
-4.5,-4.5,13.5,0.69651,0.61891,0.53265,0.67348,0.66086,0.66086,1.1235,1.0578,1.0578,1.1235
-4.5,-4.5,13.6,0.69128,0.6203,0.52595,0.66117,0.66669,0.66668,1.1285,1.0703,1.0703,1.1285
-4.5,-4.5,13.7,0.6834,0.61946,0.53429,0.64562,0.67945,0.67945,1.1187,1.0858,1.0858,1.1187
-4.5,-4.5,13.8,0.6753,0.61497,0.55786,0.63393,0.69834,0.69834,1.1031,1.097,1.097,1.1031
-4.5,-4.5,13.9,0.66668,0.60821,0.58683,0.62482,0.71713,0.71713,1.0841,1.1086,1.1086,1.0841
-4.5,-4.5,14,0.65686,0.60456,0.60672,0.61781,0.7262,0.7262,1.0673,1.1288,1.1288,1.0673
-4.5,-4.5,14.1,0.6489,0.6093,0.6062,0.61898,0.70444,0.70444,1.0684,1.1589,1.1589,1.0684
-4.5,-4.5,14.2,0.65384,0.61254,0.58456,0.65,0.66115,0.66115,1.1143,1.1214,1.1214,1.1143
-4.5,-4.5,14.3,0.65642,0.60925,0.55637,0.66776,0.64792,0.64792,1.1422,1.0842,1.0842,1.1422
-4.5,-4.5,14.4,0.65473,0.60595,0.53751,0.6699,0.64614,0.64614,1.1465,1.0724,1.0724,1.1465
-4.5,-4.5,14.5,0.65265,0.60319,0.53162,0.67191,0.65496,0.65496,1.1397,1.0583,1.0583,1.1397
-4.5,-4.5,14.6,0.65145,0.60237,0.53491,0.67653,0.67038,0.67038,1.1263,1.0424,1.0424,1.1263
-4.5,-4.5,14.7,0.65073,0.60605,0.54131,0.68269,0.6874,0.6874,1.1103,1.0292,1.0292,1.1103
-4.5,-4.5,14.8,0.64885,0.60988,0.54637,0.68694,0.69584,0.69584,1.0955,1.0307,1.0307,1.0955
-4.5,-4.5,14.9,0.64736,0.60661,0.54806,0.69074,0.67749,0.67749,1.0961,1.0529,1.0529,1.0961
-4.5,-4.5,15,0.65523,0.59962,0.50737,0.71006,0.65551,0.65551,1.1345,1.0154,1.0154,1.1345
-4.5,-4.5,15.1,0.66016,0.59906,0.4632,0.7059,0.64731,0.6473,1.1544,1.0051,1.0051,1.1544
-4.5,-4.5,15.2,0.66267,0.60586,0.43764,0.68709,0.65062,0.65062,1.1553,1.0056,1.0056,1.1553
-4.5,-4.5,15.3,0.66562,0.61424,0.42409,0.66832,0.66642,0.66642,1.1425,0.99966,0.99966,1.1425
-4.5,-4.5,15.4,0.67007,0.61974,0.41785,0.65459,0.68968,0.68968,1.1211,0.99152,0.99152,1.1211
-4.5,-4.5,15.5,0.67547,0.62054,0.41801,0.64686,0.71464,0.71464,1.0959,0.98797,0.98797,1.0959
-4.5,-4.5,15.6,0.6801,0.61764,0.42828,0.64209,0.73025,0.73025,1.0735,1.0013,1.0013,1.0735
-4.5,-4.5,15.7,0.68531,0.61769,0.46044,0.64555,0.71435,0.71435,1.0808,1.0227,1.0227,1.0808
-4.5,-4.5,15.8,0.69478,0.62297,0.47442,0.66625,0.70076,0.70076,1.1105,1.0111,1.0111,1.1105
-4.5,-4.5,15.9,0.69802,0.62586,0.48556,0.66103,0.69309,0.69309,1.1242,1.0222,1.0222,1.1242
-4.5,-4.5,16,0.69775,0.62562,0.50798,0.6423,0.69855,0.69855,1.1223,1.0174,1.0174,1.1223
-4.5,-4.5,16.1,0.69755,0.62334,0.54041,0.62364,0.71463,0.71463,1.107,1.0006,1.0006,1.107
-4.5,-4.5,16.2,0.69935,0.62111,0.57664,0.61119,0.73484,0.73483,1.0852,0.98175,0.98175,1.0852
-4.5,-4.5,16.3,0.70296,0.62209,0.60633,0.60737,0.75233,0.75233,1.0642,0.96652,0.96652,1.0642
-4.5,-4.5,16.4,0.70654,0.62523,0.61822,0.61004,0.7537,0.75369,1.0506,0.96905,0.96905,1.0506
-4.5,-4.5,16.5,0.71504,0.62357,0.63325,0.63649,0.73067,0.73066,1.0679,0.96368,0.96368,1.0679
-4.5,-4.5,16.6,0.72654,0.61827,0.64943,0.67288,0.71107,0.71106,1.094,0.9669,0.9669,1.094
-4.5,-4.5,16.7,0.73245,0.61863,0.65987,0.68335,0.69636,0.69635,1.1087,0.97893,0.97893,1.1087
-4.5,-4.5,16.8,0.73367,0.62351,0.67749,0.68139,0.69706,0.69705,1.1091,0.96151,0.96151,1.1091
-4.5,-4.5,16.9,0.7323,0.62855,0.69868,0.67882,0.70566,0.70565,1.0994,0.93124,0.93124,1.0994
-4.5,-4.5,17,0.72957,0.63124,0.71283,0.67805,0.71604,0.71604,1.0843,0.90395,0.90395,1.0843
-4.5,-4.5,17.1,0.72489,0.62909,0.70845,0.67703,0.72382,0.72382,1.0676,0.88855,0.88856,1.0676
-4.5,-4.5,17.2,0.71776,0.6228,0.67572,0.67199,0.71857,0.71856,1.0575,0.89552,0.89552,1.0575
-4.5,-4.5,17.3,0.71779,0.62035,0.60666,0.69003,0.70663,0.70663,1.0751,0.89282,0.89282,1.0751
-4.5,-4.5,17.4,0.7191,0.6205,0.51403,0.70672,0.68627,0.68626,1.0991,0.93107,0.93107,1.0991
-4.5,-4.5,17.5,0.719,0.62231,0.44935,0.70423,0.67652,0.67652,1.1146,0.95464,0.95464,1.1146
-4.5,-4.5,17.6,0.71689,0.62245,0.4298,0.69203,0.68448,0.68448,1.1117,0.94609,0.94609,1.1117
-4.5,-4.5,17.7,0.71397,0.62088,0.42911,0.68151,0.70015,0.70015,1.0971,0.92861,0.92862,1.0971
-4.5,-4.5,17.8,0.7102,0.61781,0.42541,0.67473,0.71694,0.71693,1.0777,0.91445,0.91445,1.0777
-4.5,-4.5,17.9,0.70407,0.61582,0.41162,0.66764,0.72843,0.72843,1.0593,0.91076,0.91076,1.0593
-4.5,-4.5,18,0.69542,0.6194,0.39454,0.65714,0.72493,0.72493,1.056,0.9169,0.9169,1.056
-4.5,-4.5,18.1,0.68971,0.62356,0.3855,0.66879,0.71391,0.71391,1.0697,0.93376,0.93376,1.0697
-4.5,-4.5,18.2,0.68581,0.62159,0.39804,0.67766,0.68736,0.68736,1.0903,0.9851,0.9851,1.0903
-4.5,-4.5,18.3,0.68188,0.61798,0.42486,0.66942,0.68053,0.68053,1.0983,1.0013,1.0013,1.0983
-4.5,-4.5,18.4,0.67742,0.61527,0.45304,0.65263,0.69177,0.69177,1.0896,0.98953,0.98953,1.0896
-4.5,-4.5,18.5,0.67302,0.61336,0.47955,0.6396,0.70938,0.70937,1.0719,0.97242,0.97242,1.0719
-4.5,-4.5,18.6,0.66871,0.61272,0.50156,0.63501,0.72661,0.72661,1.0517,0.95469,0.95469,1.0517
-4.5,-4.5,18.7,0.66345,0.61057,0.51227,0.63469,0.73518,0.73518,1.0342,0.93936,0.93936,1.0342
-4.5,-4.5,18.8,0.65878,0.60548,0.53057,0.6416,0.73739,0.73739,1.0329,0.91437,0.91437,1.0329
-4.5,-4.5,18.9,0.65663,0.60135,0.57284,0.66641,0.72105,0.72105,1.0441,0.92756,0.92756,1.0441
-4.5,-4.5,19,0.65743,0.59956,0.62954,0.68844,0.69665,0.69665,1.0626,0.97597,0.97597,1.0626
-4.5,-4.5,19.1,0.65593,0.60178,0.66801,0.68973,0.6928,0.6928,1.0667,0.98722,0.98722,1.0667
-4.5,-4.5,19.2,0.65354,0.60594,0.69722,0.68183,0.70087,0.70087,1.0562,0.98685,0.98684,1.0562
-4.5,-4.5,19.3,0.65191,0.60971,0.71959,0.67356,0.71372,0.71372,1.038,0.99082,0.99082,1.038
-4.5,-4.5,19.4,0.65141,0.61107,0.72631,0.66687,0.72757,0.72757,1.0176,0.99555,0.99555,1.0176
-4.5,-4.5,19.5,0.65125,0.60997,0.70837,0.65857,0.73826,0.73826,1.0028,0.99608,0.99608,1.0028
-4.5,-4.5,19.6,0.65324,0.60897,0.67293,0.6575,0.74705,0.74705,1.0001,0.98337,0.98337,1.0001
-4.5,-4.5,19.7,0.65818,0.61006,0.61664,0.67003,0.73055,0.73055,1.0162,1.0064,1.0064,1.0162
-4.5,-4.5,19.8,0.66682,0.60983,0.56808,0.68852,0.70883,0.70883,1.0412,1.0482,1.0482,1.0412
-4.5,-4.5,19.9,0.67333,0.60917,0.55221,0.68726,0.70696,0.70696,1.0462,1.0566,1.0566,1.0462
-4.5,-4.5,20,0.67854,0.61015,0.56005,0.67657,0.71552,0.71552,1.0383,1.0643,1.0643,1.0382
-4.5,-4.5,20.1,0.68263,0.61155,0.56778,0.66456,0.72802,0.72802,1.0246,1.0773,1.0773,1.0246
-4.5,-4.5,20.2,0.68502,0.61413,0.55937,0.65251,0.73914,0.73914,1.0104,1.0891,1.0891,1.0104
-4.5,-4.5,20.3,0.68644,0.61808,0.5264,0.63903,0.74971,0.74971,1.0047,1.0857,1.0857,1.0047
-4.5,-4.5,20.4,0.68615,0.61945,0.46398,0.62968,0.74931,0.74931,1.0097,1.0706,1.0706,1.0097
-4.5,-4.5,20.5,0.68716,0.61721,0.37397,0.6351,0.72185,0.72185,1.0326,1.0826,1.0826,1.0326
-4.5,-4.5,20.6,0.69405,0.61723,0.36229,0.65764,0.70231,0.70231,1.0525,1.0903,1.0903,1.0525
-4.5,-4.5,20.7,0.70256,0.61869,0.42194,0.66148,0.70392,0.70391,1.0533,1.0729,1.0729,1.0533
-4.5,-4.5,20.8,0.71081,0.62085,0.45835,0.65783,0.71525,0.71524,1.0432,1.0666,1.0666,1.0432
-4.5,-4.5,20.9,0.71756,0.62323,0.47503,0.65648,0.72922,0.72922,1.029,1.0696,1.0696,1.029
-4.5,-4.5,21,0.72117,0.62342,0.47198,0.65659,0.73973,0.73973,1.0159,1.0764,1.0764,1.0159
-4.5,-4.5,21.1,0.72104,0.61977,0.45558,0.65754,0.74659,0.74659,1.0076,1.0751,1.0751,1.0076
-4.5,-4.5,21.2,0.71617,0.6149,0.44401,0.65795,0.73796,0.73796,1.007,1.0718,1.0718,1.007
-4.5,-4.5,21.3,0.71442,0.61659,0.51171,0.67315,0.71144,0.71143,1.0226,1.1009,1.1009,1.0226
-4.5,-4.5,21.4,0.71817,0.61895,0.59564,0.70402,0.69743,0.69742,1.0308,1.1074,1.1074,1.0308
-4.5,-4.5,21.5,0.71986,0.62005,0.63801,0.71133,0.69407,0.69407,1.0237,1.1005,1.1005,1.0237
-4.5,-4.5,21.6,0.72038,0.62099,0.66335,0.70841,0.70077,0.70077,1.0098,1.1067,1.1067,1.0098
-4.5,-4.5,21.7,0.72045,0.62188,0.6757,0.70568,0.71402,0.71402,0.99387,1.1159,1.1159,0.99387
-4.5,-4.5,21.8,0.71947,0.62233,0.67075,0.7037,0.73098,0.73097,0.98066,1.1201,1.1201,0.98066
-4.5,-4.5,21.9,0.71532,0.62267,0.64252,0.70203,0.74404,0.74403,0.972,1.1161,1.1161,0.972
-4.5,-4.5,22,0.70736,0.62458,0.59502,0.69569,0.74194,0.74193,0.97626,1.1088,1.1088,0.97626
-4.5,-4.5,22.1,0.70522,0.62266,0.57842,0.70226,0.72617,0.72617,0.99961,1.1328,1.1328,0.9996
-4.5,-4.5,22.2,0.70608,0.61872,0.56365,0.72194,0.71786,0.71786,1.0085,1.1222,1.1222,1.0085
-4.5,-4.5,22.3,0.70422,0.6179,0.55073,0.71998,0.71288,0.71288,1.005,1.1081,1.1081,1.005
-4.5,-4.5,22.4,0.70173,0.61729,0.54706,0.70868,0.71719,0.71719,0.99609,1.104,1.104,0.99609
-4.5,-4.5,22.5,0.69965,0.61755,0.5401,0.69804,0.72953,0.72953,0.9867,1.0993,1.0993,0.9867
