% Model,2D.mph
% Version,COMSOL 6.1.0.282
% Date,"May 24 2023, 14:48"
% Table,Accumulated Probe Table 2 - 
% d0 (mm),freq (GHz),"Electric field norm (V/m), Boundary Probe 1"
1,1,0.4016508576531872
1,2,0.39224786821564517
1,3,0.34625839348240434
1,4,0.3748048327393708
1,5,0.3457207105125946
1,6,0.3792940013397486
1,7,0.4199186131434218
1,8,0.4396409159143929
1,9,0.42088961991574203
1,10,0.540332202542831
1,11,0.6976490329708568
1,12,0.755694662745003
1,13,0.8299003499631439
1,14,0.9731065314420598
1,15.000000000000002,0.8161644996080921
1,16,0.7957327057485545
1,17,0.9394932203133972
1,18,1.0376195926588243
1,19,0.999127979432352
1,20,1.4809212014996551
1,21,1.3423575941574317
1,22,1.0285486959159393
1,23,0.9568900770886513
1,24,1.0287070398619271
1,25,0.7926710089622034
2,1,0.40085411400362825
2,2,0.39264051593105054
2,3,0.34618818693412584
2,4,0.377025484962275
2,5,0.34936820255894
2,6,0.3806152226853616
2,7,0.42336424140324885
2,8,0.4438936276916612
2,9,0.420913426450253
2,10,0.5204941601802012
2,11,0.6686231479427328
2,12,0.7245483170249988
2,13,0.8093064030949766
2,14,0.9747519583744298
2,15.000000000000002,0.8360904069414851
2,16,0.7690281701544045
2,17,0.9486878920055164
2,18,1.0276280456906342
2,19,0.9811632798577551
2,20,1.495127258332663
2,21,1.375330963273465
2,22,1.0160034380896261
2,23,0.9439951892650953
2,24,1.025436750388393
2,25,0.7947133333819384
3,1,0.4002591987647056
3,2,0.39318663043486257
3,3,0.3464205889365182
3,4,0.3785521878061296
3,5,0.35419727523377437
3,6,0.37850594615965505
3,7,0.4202085920503728
3,8,0.44427427568216027
3,9,0.4201916112066952
3,10,0.5285717645294334
3,11,0.676570994265128
3,12,0.7382968764718568
3,13,0.827347011326592
3,14,0.9583554077537018
3,15.000000000000002,0.8261499656836235
3,16,0.7833130708388479
3,17,0.9465349181680229
3,18,1.0266154781670473
3,19,0.9766531539428541
3,20,1.4545875679016778
3,21,1.3532339271546052
3,22,1.016905157972556
3,23,0.9497620823997347
3,24,1.0339652482357458
3,25,0.794251173347045
4,1,0.3998672448529714
4,2,0.39398081907078164
4,3,0.34681403685260265
4,4,0.3820569063006952
4,5,0.3587139069111814
4,6,0.3780654253420174
4,7,0.4281402230861494
4,8,0.4491499917565181
4,9,0.42534712056272783
4,10,0.5247638643174014
4,11,0.7178111310159021
4,12,0.7469481624238747
4,13,0.8511398109546002
4,14,0.987743040342497
4,15.000000000000002,0.8503432551591102
4,16,0.8488931776737684
4,17,0.9274991857553053
4,18,1.040902643761636
4,19,1.0113940485949424
4,20,1.4932950356081216
4,21,1.3452620517920697
4,22,1.0221850839321838
4,23,0.952525108180938
4,24,1.0252941351402167
4,25,0.785573915131064
5,1,0.39967241118377
5,2,0.39501158923506946
5,3,0.3472455523476776
5,4,0.38517815335376504
5,5,0.35915699264708534
5,6,0.3774067657494158
5,7,0.4285204125683452
5,8,0.44310577423469233
5,9,0.43213611744549796
5,10,0.5269146285842823
5,11,0.6846225134891211
5,12,0.7493466737362932
5,13,0.8349712671620838
5,14,0.9860686560023446
5,15.000000000000002,0.8602550579884582
